,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
87,100.0,7,350,3000,6,True,0.230697142104348,0.3629848574160311,5,5,[2.08104594 0.6972414 ] [2.47395289 4.4140215 ] [1.3211622  1.98592992] [0.81870792 1.11952928] [2.14835146 3.44737677],[0.270885   0.26388797 0.16256941 0.12136402 0.18054071 0.00075289],[[1.23961727 0.53440514]  [0.53440514 0.96840077]] [[1.15189539 0.23821764]  [0.23821764 0.98565293]] [[ 0.74983253 -0.8461292 ]  [-0.8461292   1.61488304]] [[ 1.12347987 -0.32252351]  [-0.32252351  1.90022406]] [[ 0.74628213 -0.61226276]  [-0.61226276  0.99528818]],5,"{0: 490, 1: 306, 2: 224, 3: 74, 4: 306, 5: 0}",1,0,1
88,100.0,8,350,3000,6,True,0.2275526462160163,0.4272378325794523,4,4,[1.40362282 2.46104088] [2.30912109 0.89750202] [1.89955838 4.52069414] [0.78828604 0.28987332],[0.23872857 0.25794439 0.38315859 0.11866956 0.00075339 0.0007455 ],[[1.36305834 0.36233708]  [0.36233708 0.59897769]] [[1.09305733 0.43227344]  [0.43227344 1.27537915]] [[1.42893843 0.31626035]  [0.31626035 1.11788658]] [[0.91473723 0.6037761 ]  [0.6037761  1.1956373 ]],4,"{0: 388, 1: 354, 2: 526, 3: 132, 4: 0, 5: 0}",1,0,1
89,100.0,9,350,3000,6,True,0.22683153867095135,0.5848683055402983,5,5,[4.3250798  2.15915545] [2.61031267 1.08660235] [1.71028657 3.99296528] [1.22381858 0.0620512 ] [1.71833928 1.61879334],[0.00924519 0.10467459 0.52689979 0.18257105 0.00076343 0.17584594],[[2.90296804 0.38504197]  [0.38504197 2.61740069]] [[ 0.29491368 -0.11026259]  [-0.11026259  0.7807525 ]] [[1.31221604 0.43908009]  [0.43908009 1.62377443]] [[0.53693943 0.01022884]  [0.01022884 1.17310539]] [[1.51537229 0.6302508 ]  [0.6302508  0.69361243]],5,"{0: 6, 1: 136, 2: 738, 3: 224, 4: 0, 5: 296}",2,0,1
90,100.0,10,350,3000,6,True,0.27808565488901,0.5759059201326698,5,5,[1.14421257 2.1054793 ] [3.11115674 4.10253074] [2.01442349 0.64530015] [1.71294407 4.19109475] [3.48394865 3.28186697],[0.15965495 0.05808315 0.33169401 0.38339993 0.00076097 0.06640699],[[ 0.72038563 -0.0193603 ]  [-0.0193603   0.88189782]] [[1.16735826 1.73724828]  [1.73724828 3.25062877]] [[1.48682313 0.47380196]  [0.47380196 0.97682571]] [[0.84266602 0.14287392]  [0.14287392 1.30075051]] [[1.03568291 0.66457472]  [0.66457472 1.0736931 ]],5,"{0: 194, 1: 38, 2: 506, 3: 586, 4: 0, 5: 76}",2,2,0
91,100.0,11,350,3000,6,True,0.3155547655339158,0.8023509202412062,3,3,[2.33635942 2.78862035] [1.54289036 0.7072073 ] [1.64746774 4.11523187],[0.14631932 0.43164001 0.41979624 0.00075628 0.00074811 0.00074004],[[ 0.86810372 -0.15919258]  [-0.15919258  0.81903927]] [[1.09261522 0.13685968]  [0.13685968 1.20756813]] [[1.56004307 0.56307073]  [0.56307073 1.51022071]],3,"{0: 138, 1: 636, 2: 626, 3: 0, 4: 0, 5: 0}",0,0,0
92,100.0,12,350,3000,6,True,0.22470475690048936,0.4399328119703131,5,5,[0.6220229 1.3827708] [1.97579504 0.91476699] [2.4206761  3.96710091] [-0.97521819  1.70652065] [1.23826756 4.02914573],[0.15256039 0.33830981 0.30241582 0.01187529 0.19408565 0.00075303],[[0.39149639 0.07468917]  [0.07468917 2.0534003 ]] [[1.00646668 0.14748417]  [0.14748417 1.12463162]] [[1.07014796 0.18522936]  [0.18522936 2.25476103]] [[2.34012566 0.53108964]  [0.53108964 2.41996081]] [[ 0.81941684 -0.05247036]  [-0.05247036  0.62526348]],5,"{0: 216, 1: 496, 2: 396, 3: 8, 4: 284, 5: 0}",4,1,3
93,100.0,13,350,3000,6,True,0.2447418344418475,0.4907541216379793,6,6,[2.6548084 1.5405349] [2.94352631 5.08246427] [1.37829418 0.86453468] [0.47597264 3.20694418] [2.0203453  4.29833878] [-0.47653865  2.45903576],[0.19468658 0.0255788  0.34121982 0.10754956 0.28659254 0.04437271],[[0.46588108 0.35700032]  [0.35700032 3.3413159 ]] [[ 2.58501366 -1.43610744]  [-1.43610744  3.82429844]] [[1.33602329 0.78538615]  [0.78538615 1.20138477]] [[ 0.26027263 -0.01894811]  [-0.01894811  1.21244434]] [[0.78914895 0.43396645]  [0.43396645 0.93319058]] [[0.9480873  0.01522609]  [0.01522609 1.4978724 ]],6,"{0: 248, 1: 16, 2: 492, 3: 168, 4: 442, 5: 34}",4,2,2
94,100.0,14,350,3000,6,True,0.2370841944080135,0.4329961690857193,6,6,[2.83323989 2.80408996] [0.50074539 0.62249257] [1.56846917 4.32115934] [2.01512972 0.46350204] [1.72289923 1.49531335] [1.76210131 3.2492231 ],[0.13299398 0.13549479 0.33066541 0.19757426 0.1131679  0.09010367],[[0.70253617 0.10578017]  [0.10578017 0.54527514]] [[0.51480688 0.0087951 ]  [0.0087951  2.36395488]] [[1.21205814 0.41436487]  [0.41436487 1.21945847]] [[1.08639439 0.19205049]  [0.19205049 0.81884549]] [[ 0.48405241 -0.37566788]  [-0.37566788  0.78066592]] [[1.26938424 1.65354712]  [1.65354712 2.49500066]],6,"{0: 192, 1: 190, 2: 546, 3: 278, 4: 168, 5: 26}",3,0,2
95,100.0,15,350,3000,6,True,0.22030809171108404,0.4214137139036932,5,5,[0.953813   3.69052109] [0.92184707 1.13521732] [2.43218674 4.47333269] [2.95255363 2.19044415] [2.09955839 0.67261494],[0.23945576 0.23403488 0.23706477 0.0470602  0.00076257 0.24162182],[[0.96468072 0.07929229]  [0.07929229 0.72387108]] [[1.03598516 0.35738877]  [0.35738877 0.96021618]] [[1.03275519 0.03286127]  [0.03286127 1.1826499 ]] [[ 0.88032788 -0.2311589 ]  [-0.2311589   0.61076349]] [[1.11708603 0.40029161]  [0.40029161 1.28909084]],5,"{0: 340, 1: 344, 2: 340, 3: 24, 4: 0, 5: 352}",2,1,1
96,100.0,16,350,3000,6,True,0.33270766079514913,0.9160625976110544,2,2,[1.79660066 1.06531534] [1.80724302 4.05791418],[0.00076639 0.52786003 0.00076473 0.46910625 0.00075538 0.00074722],[[1.43556316 0.46486315]  [0.46486315 1.47818654]] [[1.44816215 0.45757426]  [0.45757426 1.28921355]],2,"{0: 0, 1: 736, 2: 0, 3: 664, 4: 0, 5: 0}",0,0,0
97,100.0,17,350,3000,6,True,0.3112337937366509,0.8277054638459435,5,4,[0.51203621 3.24351898] [2.01410331 3.95571231] [1.91010202 0.95813718] [-1.07859341  1.30632235] [2.12466511 4.71288349],[0.08498076 0.39394968 0.45255724 0.00646334 0.00075697 0.06129202],[[0.25519804 0.14173317]  [0.14173317 2.53701082]] [[1.31149337 0.42266581]  [0.42266581 1.19575888]] [[1.32575095 0.45020994]  [0.45020994 1.19550493]] [[3.52146494 1.59875514]  [1.59875514 2.82522994]] [[0.22072304 0.32898794]  [0.32898794 2.14183321]],5,"{0: 58, 1: 658, 2: 658, 3: 4, 4: 0, 5: 22}",2,1,1
98,100.0,18,350,3000,6,True,0.11487788279998465,0.18555866007620453,6,6,[-0.07718368  2.33178599] [2.60267574 1.39901469] [3.21229976 2.90840116] [2.33508529 4.68262322] [1.25633729 0.21608186] [1.30700511 2.17337372],[0.07539556 0.12422782 0.11015204 0.24092173 0.15992446 0.28937839],[[ 1.26610706 -0.02798915]  [-0.02798915  1.83333072]] [[ 0.47206007 -0.4727373 ]  [-0.4727373   0.88676004]] [[ 0.54851851 -0.23236695]  [-0.23236695  0.62684105]] [[1.06181037 0.2451159 ]  [0.2451159  0.80367684]] [[1.35235823 0.43580414]  [0.43580414 1.20574425]] [[ 0.38010365 -0.30210786]  [-0.30210786  3.11826637]],6,"{0: 70, 1: 202, 2: 148, 3: 328, 4: 184, 5: 468}",5,0,1
99,100.0,19,350,3000,6,True,0.3544990075032626,0.9436331960245596,2,2,[1.83147711 4.12548021] [1.81376324 1.14028719],[0.49336649 0.00076762 0.50362201 0.00075609 0.00074793 0.00073986],[[1.52478086 0.53812487]  [0.53812487 1.38317864]] [[1.51498    0.56089388]  [0.56089388 1.43809397]],2,"{0: 694, 1: 0, 2: 706, 3: 0, 4: 0, 5: 0}",0,0,0
100,1000.0,0,350,3000,6,True,0.2154824855350891,0.3805249778843217,6,5,[3.83189244 4.89024336] [2.96387743 0.08964381] [1.94440858 2.0219378 ] [2.558753   4.20780845] [1.40042895 3.89548298] [1.31381457 0.46074142],[0.02315667 0.00362831 0.21319673 0.20964376 0.2647128  0.28566174],[[1.41343351 1.4039606 ]  [1.4039606  2.73772241]] [[ 1.05909835 -1.38424244]  [-1.38424244  4.42685263]] [[ 1.35040612 -0.62944183]  [-0.62944183  0.91558958]] [[ 1.13318716 -0.3810605 ]  [-0.3810605   1.45754633]] [[1.09946218 0.47097515]  [0.47097515 1.39535878]] [[1.14187097 0.24364918]  [0.24364918 0.84522912]],6,"{0: 14, 1: 2, 2: 308, 3: 302, 4: 386, 5: 388}",4,3,1
101,1000.0,1,350,3000,6,True,0.29799047296094217,0.6935008049435754,3,3,[0.74810808 2.48636202] [1.98843439 1.39852452] [1.9779588 4.4136969],[0.10772496 0.00076655 0.00076617 0.53206173 0.00076524 0.35791535],[[0.48754415 0.66921318]  [0.66921318 4.74676658]] [[1.2070694  0.4201747 ]  [0.4201747  1.72871152]] [[1.26638011 0.41953196]  [0.41953196 1.01267577]],3,"{0: 26, 1: 0, 2: 0, 3: 790, 4: 0, 5: 584}",0,0,0
102,1000.0,2,350,3000,6,True,0.23953397748927305,0.4749839684617209,5,5,[2.19465178 3.98950176] [2.71946883 1.18023397] [1.11725112 0.18948502] [1.27118038 2.42733771] [0.02166423 2.57009972],[0.43011637 0.16517067 0.20743396 0.14256395 0.00076373 0.05395133],[[1.28852172 0.14420401]  [0.14420401 1.35243654]] [[0.94730282 0.1239593 ]  [0.1239593  0.57727013]] [[1.28966069 0.24665357]  [0.24665357 0.91064921]] [[ 0.23711905 -0.17024444]  [-0.17024444  2.74341964]] [[ 0.68935514 -0.21242584]  [-0.21242584  0.4736389 ]],5,"{0: 654, 1: 240, 2: 310, 3: 122, 4: 0, 5: 74}",2,0,1
103,1000.0,3,350,3000,6,True,0.2829117739743553,0.5928777071186507,5,4,[1.92989599 4.30081211] [4.18869232 1.97951661] [2.04727971 1.19452115] [0.02056666 1.97395246] [1.32315284 1.87153276],[0.3782274  0.00648761 0.00076546 0.35124052 0.13675531 0.1265237 ],[[1.2531894  0.39978571]  [0.39978571 1.18462688]] [[ 3.2912863  -0.13358249]  [-0.13358249  2.40611835]] [[1.32980077 0.55230159]  [0.55230159 1.38652978]] [[0.26447249 0.08792311]  [0.08792311 3.58582844]] [[0.20482352 0.02792601]  [0.02792601 2.55209199]],5,"{0: 560, 1: 4, 2: 0, 3: 546, 4: 214, 5: 76}",5,0,5
104,1000.0,4,350,3000,6,True,0.2355950501862721,0.5447065795086826,5,5,[1.95364192 4.29967349] [2.33378054 1.64329185] [1.17291139 0.4740045 ] [0.66187778 2.73006714] [4.11795537 3.99505512],[0.37022803 0.15937454 0.30776095 0.10982611 0.05204764 0.00076272],[[0.77021701 0.16580745]  [0.16580745 1.1153367 ]] [[ 0.47636571 -0.00605337]  [-0.00605337  0.59108759]] [[1.19451354 0.19236037]  [0.19236037 1.34281221]] [[ 1.0852849  -0.28322024]  [-0.28322024  0.83032897]] [[ 0.94797331 -0.05832105]  [-0.05832105  3.60289264]],5,"{0: 548, 1: 260, 2: 408, 3: 122, 4: 62, 5: 0}",1,1,0
105,1000.0,5,350,3000,6,True,0.24249243736247586,0.4461624738419499,5,5,[1.9346305  0.63624286] [0.8441965  3.89262264] [2.72691779 3.75015603] [2.05750338 3.79822896] [0.68385044 1.54044525],[0.35776336 0.20045225 0.19277452 0.16249939 0.00076391 0.08574657],[[1.31866368 0.4918978 ]  [0.4918978  1.24222177]] [[0.73853069 0.22386116]  [0.22386116 1.32000405]] [[0.96594508 0.59387647]  [0.59387647 2.09105557]] [[0.21098803 0.0391482 ]  [0.0391482  1.89490572]] [[0.71344676 0.33561048]  [0.33561048 0.70284179]],5,"{0: 548, 1: 258, 2: 182, 3: 306, 4: 0, 5: 106}",3,2,1
