,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
118,1000.0,18,300,1000,6,True,0.014308142477493497,0.07550605887334777,4,4,[2.44307424 1.89749444] [0.91812775 2.43661511] [1.51284005 0.42481974] [3.61215103 2.31706821],[0.31564433 0.33964982 0.14876328 0.0008911  0.19416215 0.00088933],[[ 0.46870191 -0.54314378]  [-0.54314378  2.49633232]] [[0.73031733 0.38033312]  [0.38033312 2.1013353 ]] [[0.10455675 0.04762877]  [0.04762877 1.46902105]] [[0.74244896 0.07409179]  [0.07409179 2.72094428]],4,"{0: 444, 1: 382, 2: 186, 3: 0, 4: 188, 5: 0}",3,0,2
119,1000.0,19,300,1000,6,False,0.09747503776164122,0.35118964309249,4,3,[3.03216645 2.78815461] [1.41278529 2.65444344] [2.20981733 0.77172036] [3.9221498  2.91420297],[0.00089357 0.12657901 0.00089265 0.5429973  0.32370477 0.00493271],[[0.43144277 0.1990267 ]  [0.1990267  1.41502022]] [[1.10606697 0.23859723]  [0.23859723 1.81544434]] [[1.6196312  0.2337837 ]  [0.2337837  1.17828573]] [[2.48001598 0.85686401]  [0.85686401 0.98873766]],4,"{0: 0, 1: 130, 2: 0, 3: 672, 4: 394, 5: 4}",3,0,0
120,10000.0,0,300,1000,6,True,0.08888260575170381,0.2848288828607605,6,5,[2.93041704 1.03656076] [ 2.28476175 -0.91731688] [-0.21406302  1.63394851] [1.23049401 1.40705511] [1.23973802 3.50873366] [2.82184439 2.98007215],[0.20394964 0.0038532  0.04438813 0.34762991 0.16308309 0.23709603],[[0.54341155 0.03709594]  [0.03709594 1.16493955]] [[ 0.49971206 -0.66235802]  [-0.66235802  5.61880673]] [[ 1.89846735 -0.18952263]  [-0.18952263  1.66688374]] [[ 0.52103168 -0.03554931]  [-0.03554931  1.8757419 ]] [[ 0.60639163 -0.05824583]  [-0.05824583  1.45164388]] [[0.77543508 0.13611063]  [0.13611063 1.18457788]],6,"{0: 236, 1: 2, 2: 26, 3: 472, 4: 184, 5: 280}",4,1,3
121,10000.0,1,300,1000,6,True,0.17565468338215046,0.5641794172995546,5,4,[1.04064744 1.59752557] [2.01337473 0.97737612] [1.82377773 3.26660143] [2.40387197 1.43783965] [0.3809918  4.54055294],[0.12478982 0.30989756 0.36867156 0.19179968 0.00089222 0.00394915],[[0.39080238 0.04499269]  [0.04499269 1.03135504]] [[ 1.93606198 -0.02394243]  [-0.02394243  1.46720224]] [[ 1.24280535 -0.08930651]  [-0.08930651  1.08682772]] [[0.37491584 0.1560543 ]  [0.1560543  1.64277074]] [[ 1.65700793 -2.11846265]  [-2.11846265  4.17574775]],5,"{0: 110, 1: 378, 2: 524, 3: 186, 4: 0, 5: 2}",2,0,2
122,10000.0,2,300,1000,6,True,0.08899340076159287,0.2978438473071757,5,5,[3.02337254 3.01022188] [2.74439766 1.12591029] [0.99823241 1.9477104 ] [1.08876422 0.28884895] [1.43987766 2.99195871],[0.09331979 0.35509164 0.05837936 0.14369123 0.00089225 0.34862573],[[0.79237104 0.35495054]  [0.35495054 0.73153461]] [[0.9775451  0.14167255]  [0.14167255 1.4649124 ]] [[0.9886404  0.21891029]  [0.21891029 0.36591061]] [[0.7119414  0.24683131]  [0.24683131 1.00191175]] [[0.85635114 0.09949238]  [0.09949238 1.81680552]],5,"{0: 84, 1: 432, 2: 20, 3: 178, 4: 0, 5: 486}",3,1,2
123,10000.0,3,300,1000,6,True,0.02607622773172089,0.03659546842166246,4,4,[1.87172093 1.830267  ] [0.78805151 2.24231574] [2.42306448 3.77282553] [3.25194049 1.82290843],[0.00089271 0.38101032 0.00089253 0.25279892 0.11453596 0.24986955],[[0.50630042 0.13685544]  [0.13685544 2.19576538]] [[0.95975565 0.30839665]  [0.30839665 2.68697279]] [[ 0.91284218 -0.08122354]  [-0.08122354  0.67918906]] [[ 0.78770665 -0.17076006]  [-0.17076006  1.77040445]],4,"{0: 0, 1: 536, 2: 0, 3: 262, 4: 136, 5: 266}",3,0,2
124,10000.0,4,300,1000,6,True,0.10054203782674734,0.2609100879190476,5,5,[1.32027926 1.51142675] [3.26788449 2.56673432] [-0.31038026  1.10112192] [1.73114547 3.40524663] [2.91935108 0.87936758],[0.31583672 0.19489503 0.05730104 0.00089231 0.2314965  0.1995784 ],[[ 0.38300778 -0.06953362]  [-0.06953362  1.34206693]] [[0.858846   0.13821283]  [0.13821283 2.08389356]] [[ 0.97638151 -0.28671072]  [-0.28671072  2.73516027]] [[ 0.90585023 -0.25261219]  [-0.25261219  0.90918438]] [[ 0.63328757 -0.0571454 ]  [-0.0571454   1.52040757]],5,"{0: 424, 1: 186, 2: 52, 3: 0, 4: 296, 5: 242}",4,0,3
125,10000.0,5,300,1000,6,True,0.13269759785262608,0.6859794917602067,4,4,[2.97544361 1.08280346] [1.77932895 1.011058  ] [1.91099432 3.04610102] [0.54179712 0.94613985],[0.15486519 0.00089269 0.31921784 0.46512659 0.05900537 0.00089232],[[ 0.80880371 -0.03611631]  [-0.03611631  1.32676227]] [[ 0.58392843 -0.07595973]  [-0.07595973  1.62005818]] [[ 1.57819593 -0.01585669]  [-0.01585669  1.36556049]] [[1.02410701 0.17747266]  [0.17747266 1.28530066]],4,"{0: 132, 1: 0, 2: 420, 3: 612, 4: 36, 5: 0}",3,0,3
126,10000.0,6,300,1000,6,True,0.13047361314484354,0.4162004195724631,5,5,[1.30466744 3.12736644] [2.25628386 0.75080458] [1.17943351 0.70871583] [2.36208002 2.00671887] [2.86826831 3.58865163],[0.28470561 0.34516422 0.00089285 0.08252447 0.16232749 0.12438537],[[0.52455369 0.12565935]  [0.12565935 1.27431488]] [[1.51630934 0.36806447]  [0.36806447 1.15361554]] [[ 1.85929039 -1.07370291]  [-1.07370291  2.38338349]] [[1.84139947 0.73125911]  [0.73125911 0.6101814 ]] [[0.45915668 0.26287556]  [0.26287556 0.79683373]],5,"{0: 356, 1: 456, 2: 0, 3: 26, 4: 218, 5: 144}",2,1,1
127,10000.0,7,300,1000,6,True,0.02403909533154128,0.08428276794325525,5,5,[-0.34775843  1.45348711] [1.95250253 1.3638514 ] [2.06272966 3.34136129] [0.64440988 1.4942651 ] [3.15456305 1.45750842],[0.01038285 0.33806979 0.16932974 0.00089162 0.24196563 0.23936036],[[2.09434471 0.18917641]  [0.18917641 1.15017827]] [[ 0.14306568 -0.0039111 ]  [-0.0039111   1.90353698]] [[0.90918551 0.05934291]  [0.05934291 1.0305517 ]] [[ 0.35000885 -0.04575432]  [-0.04575432  1.99692272]] [[ 0.50527941 -0.01091921]  [-0.01091921  1.85496924]],5,"{0: 6, 1: 474, 2: 170, 3: 0, 4: 294, 5: 256}",6,0,6
