Concentration,Mean ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev
1e-13,0.7530085195021552,0.04081822635685332,1.0,4.0,0.0
0.016666666666666635,0.7555282372184365,0.03872956340488471,1.0,4.0,0.0
0.06666666666666665,0.7173240505533122,0.08164331564709917,0.8,4.1,0.5385164807134504
0.11666666666666665,0.7698846523313836,0.08046203521614834,0.8,4.0,0.0
0.16666666666666666,0.7470951669730674,0.0382657709732717,1.0,4.0,0.0
0.21666666666666667,0.7838300901982138,0.04492892829235738,1.0,4.0,0.0
0.26666666666666666,0.7689309811880921,0.10379417839267582,1.0,3.9,0.3
0.31666666666666665,0.7399503256364601,0.08998479184951998,1.0,4.1,0.3
0.3666666666666667,0.7387858086726553,0.0640515854280268,1.0,4.0,0.0
0.41666666666666663,0.7832347551135711,0.06204093756199999,1.0,4.0,0.0
0.4666666666666667,0.7608066137471208,0.06567032183451951,1.0,4.0,0.0
0.5166666666666667,0.7785699799931873,0.034310789509731876,1.0,4.0,0.0
0.5666666666666667,0.7434529717562884,0.048894470282702086,1.0,4.0,0.0
0.6166666666666667,0.7339224277614926,0.04723417130134317,1.0,4.1,0.3
0.6666666666666666,0.7311741825209634,0.07594995902871203,1.0,4.0,0.0
0.7166666666666667,0.7376823493557921,0.059862691994962414,1.0,3.9,0.3
0.7666666666666667,0.7626047626013899,0.055784165685755394,1.0,4.0,0.0
0.8166666666666667,0.7439403513236204,0.03398262980463722,0.9,4.1,0.3
0.8666666666666667,0.7601071049928125,0.033657027101542836,1.0,4.0,0.0
0.9166666666666666,0.7855542296131727,0.03758506939460999,1.0,4.0,0.0
0.9666666666666667,0.7745037692129156,0.06962845414309904,1.0,4.0,0.0
1.0166666666666668,0.7208196794296221,0.06867920979923516,1.0,3.9,0.3
1.0666666666666667,0.7639288008779123,0.040900236072432435,1.0,4.0,0.0
1.1166666666666667,0.7524308119337957,0.09628890188876323,0.9,4.0,0.4472135954999579
1.1666666666666667,0.7549376822105386,0.07609419804666367,1.0,4.0,0.0
1.2166666666666668,0.7634204876319532,0.05895380899629015,1.0,4.0,0.0
1.2666666666666668,0.7795535587797738,0.04397370284234281,1.0,4.2,0.39999999999999997
1.3166666666666669,0.7688999119694965,0.07747068817567251,0.9,3.9,0.3
1.366666666666667,0.7497973400794115,0.09935869506145921,1.0,3.9,0.3
1.4166666666666667,0.7838439769348702,0.053864344766781494,1.0,4.1,0.3
1.4666666666666668,0.7406864185848512,0.04813137759408504,0.9,4.0,0.0
1.5166666666666668,0.7692437014231039,0.03801103649807215,1.0,4.0,0.0
1.5666666666666669,0.7603018819750463,0.0593303181409642,1.0,4.0,0.0
1.616666666666667,0.7703894390676502,0.048358293812008867,1.0,4.0,0.0
