,Name,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits,RandomGroup
1166,context,1.6e-07,389,300,3000,6,True,0.4910516607811195,0.9933277338351654,3,2,[1.28290699 4.92272687] [ 1.86948947 -0.05485614] [2.44148715 6.42103823],[4.99107875e-01 8.87399028e-04 4.95030002e-01 7.50543027e-04 4.22418145e-03 9.73979491e-11],[[ 0.74348615 -0.13040419]  [-0.13040419  0.72429022]] [[ 1.08990712 -0.12244829]  [-0.12244829  0.70288467]] [[0.52407327 0.68879887]  [0.68879887 5.32959725]],3,"{0: 600, 1: 0, 2: 596, 3: 0, 4: 4, 5: 0}",0,0,0,3
1167,base,1.6e-07,390,300,3000,6,True,0.4756911344137274,0.9099181073703366,3,3,[1.44613454 4.92119257] [1.2672504  0.07064744] [1.16622953 5.12601796],[1.75442211e-01 4.98952297e-01 3.25605492e-01 1.32748783e-10 2.12398025e-17 3.39836791e-24],[[ 1.07544574 -0.08261344]  [-0.08261344  0.82407732]] [[ 0.77535381 -0.02859506]  [-0.02859506  0.84032229]] [[0.57664246 0.02091306]  [0.02091306 0.89636929]],3,"{0: 60, 1: 600, 2: 540, 3: 0, 4: 0, 5: 0}",0,0,0,5
1168,contextless,1.6e-07,390,300,3000,6,True,0.4910826148227182,0.9737888205567016,3,3,[1.19476181 2.02499267] [2.46760097 0.02252293] [1.27098108 5.07704404],[2.38503082e-02 4.82131600e-01 4.94018092e-01 1.32884980e-10 2.12615940e-17 3.40185455e-24],[[ 0.39164553 -0.50506823]  [-0.50506823  1.77027234]] [[ 0.79276888 -0.04979095]  [-0.04979095  0.77275866]] [[ 0.77282659 -0.03988703]  [-0.03988703  0.83701651]],3,"{0: 12, 1: 590, 2: 598, 3: 0, 4: 0, 5: 0}",0,0,0,5
1169,context,1.6e-07,390,300,3000,6,True,0.4993736951983298,1.0,2,2,[1.84908346 0.06934975] [1.26361923 5.057202  ],[8.95318374e-04 4.98739545e-01 5.00365136e-01 1.32890412e-10 2.12624631e-17 3.40199360e-24],[[ 1.13350231 -0.06729905]  [-0.06729905  0.83781412]] [[ 0.76985685 -0.02855858]  [-0.02855858  0.86494082]],2,"{0: 0, 1: 600, 2: 600, 3: 0, 4: 0, 5: 0}",0,0,0,5
1170,base,1.6e-07,391,300,3000,6,True,0.4358367063930476,0.7753706119910941,3,3,[ 0.78347366 -0.02725971] [1.20886553 4.97156047] [1.88014112 0.00477188],[3.06598836e-01 4.99783270e-01 1.93617894e-01 1.32493422e-10 2.11989447e-17 3.39183066e-24],[[0.56909665 0.11119213]  [0.11119213 0.67029617]] [[0.85814188 0.03479784]  [0.03479784 0.70263337]] [[ 0.57560573 -0.10736531]  [-0.10736531  0.80508199]],3,"{0: 396, 1: 600, 2: 204, 3: 0, 4: 0, 5: 0}",1,0,1,4
1171,contextless,1.6e-07,391,300,3000,6,True,0.4993736951983298,1.0,2,2,[ 2.39577688 -0.02295976] [1.20853757 4.9665638 ],[4.99547352e-01 5.00452648e-01 1.33001017e-10 2.12801603e-17 3.40482519e-24 5.44771951e-31],[[0.88211509 0.00480396]  [0.00480396 0.69557171]] [[0.85944337 0.03366715]  [0.03366715 0.71554317]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,4
1172,context,1.6e-07,391,300,3000,6,True,0.4993736951983298,1.0,2,2,[ 1.80120564 -0.02017819] [1.20928583 4.97043438],[5.00214562e-01 4.99785438e-01 1.33000722e-10 2.12801131e-17 3.40481764e-24 5.44770743e-31],[[1.22222734 0.01686511]  [0.01686511 0.70052911]] [[0.85848538 0.03253352]  [0.03253352 0.70515787]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,4
1173,base,1.6e-07,392,300,3000,6,True,0.4927099932746571,1.0,2,2,[1.26646687 4.99226962] [ 1.26867205e+00 -1.21283088e-03],[8.96505126e-04 4.95225222e-01 8.91736889e-04 5.02986536e-01 1.32672867e-10 2.12276556e-17],[[0.7315216  0.05393476]  [0.05393476 0.75554626]] [[0.72771643 0.05295889]  [0.05295889 0.86187161]],2,"{0: 0, 1: 596, 2: 0, 3: 604, 4: 0, 5: 0}",0,0,0,4
1174,contextless,1.6e-07,392,300,3000,6,True,0.4927099932746571,0.9867000195099472,2,2,[ 2.44297886 -0.00705258] [1.26384118 4.98650615],[0.00089408 0.00089179 0.50300811 0.00088936 0.00088774 0.49342892],[[ 7.19430101e-01 -1.70528399e-04]  [-1.70528399e-04  8.49417193e-01]] [[0.72869284 0.05651906]  [0.05651906 0.76835169]],2,"{0: 0, 1: 0, 2: 604, 3: 0, 4: 0, 5: 596}",0,0,0,4
1175,context,1.6e-07,392,300,3000,6,True,0.4927099932746571,0.9867000195099472,2,2,[1.26506524 4.99051754] [ 1.85492012 -0.00272688],[8.93604898e-04 4.95582980e-01 5.03523415e-01 1.32891796e-10 2.12626845e-17 3.40202902e-24],[[0.72972311 0.05539203]  [0.05539203 0.75938674]] [[1.0679304  0.02425626]  [0.02425626 0.85877897]],2,"{0: 0, 1: 596, 2: 604, 3: 0, 4: 0, 5: 0}",0,0,0,4
1176,base,1.6e-07,393,300,3000,6,True,0.4943546341969025,0.9802053864365412,4,3,[3.17342621 0.74269127] [1.16335039 5.06225038] [1.14622494 0.0574878 ] [3.5904333  4.08074826],[1.15327315e-02 4.94265207e-01 4.88924825e-01 7.58872327e-04 4.51836437e-03 9.90805636e-11],[[ 1.5921407  -1.30127874]  [-1.30127874  2.1209249 ]] [[0.67551928 0.10006075]  [0.10006075 0.80996069]] [[0.64422747 0.08480537]  [0.08480537 0.80572666]] [[1.77064498 0.77367992]  [0.77367992 1.89105425]],4,"{0: 8, 1: 596, 2: 592, 3: 0, 4: 4, 5: 0}",2,1,1,3
