Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
1.6e-07,0,350,3000,6,True,-0.0006968747342641236,0.0023919871491044423,3,3,[-0.07455082  1.2818866 ] [1.36833931 2.04819417] [3.0612287  2.11625426],[7.67407574e-04 4.68548382e-02 5.88976191e-01 3.63401563e-01 1.13813977e-10 1.82102336e-17],[[ 1.89444322 -0.42533401]  [-0.42533401  1.76958867]] [[ 0.59927735 -0.08224202]  [-0.08224202  2.70663391]] [[0.57793012 0.00287054]  [0.00287054 2.11153541]],3,"{0: 0, 1: 30, 2: 882, 3: 488, 4: 0, 5: 0}",3,0,2
1.6e-07,1,350,3000,6,True,0.17175174897375964,0.7150338220139344,2,2,[1.92795835 3.09832252] [1.83951211 1.15670537],[4.33543206e-01 5.66456794e-01 1.14060404e-10 1.82496624e-17 2.91994560e-24 4.67191228e-31],[[ 1.2509857  -0.18473016]  [-0.18473016  1.36992105]] [[ 1.49553802 -0.12402345]  [-0.12402345  1.58387796]],2,"{0: 586, 1: 814, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,2,350,3000,6,True,0.00029104277614618317,-0.003246058744581717,2,2,[2.0713496  2.01653542] [1.0246625 0.130547 ],[9.35861105e-01 7.57961197e-04 6.33809336e-02 1.11703064e-10 1.78724878e-17 2.85959764e-24],[[ 1.44791557 -0.0415525 ]  [-0.0415525   2.37642133]] [[0.66780717 0.2423427 ]  [0.2423427  0.90852163]],2,"{0: 1378, 1: 0, 2: 22, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,3,350,3000,6,True,0.0017725549141418475,-0.0023137820531860093,2,2,[1.73501992 1.99547997] [2.92682585 2.62273328],[7.59615959e-01 2.40384041e-01 1.13866024e-10 1.82185617e-17 2.91496948e-24 4.66395049e-31],[[1.32810614 0.04879741]  [0.04879741 2.42309517]] [[ 0.91918003 -0.50135093]  [-0.50135093  2.30495749]],2,"{0: 1172, 1: 228, 2: 0, 3: 0, 4: 0, 5: 0}",1,0,1
1.6e-07,4,350,3000,6,True,0.01259013335469596,0.027087631180635494,4,4,[1.41315955 1.80813517] [-0.41490597  1.45092598] [1.69822602 3.62443567] [3.1785319  1.72979682],[4.41270171e-01 7.66985149e-04 5.49117956e-02 1.38751903e-01 3.64299145e-01 1.13530326e-10],[[ 0.48791573 -0.05559348]  [-0.05559348  1.77165466]] [[ 0.81832561 -0.17223285]  [-0.17223285  2.77395851]] [[ 1.0601013  -0.23327532]  [-0.23327532  0.87710395]] [[0.75297461 0.11679129]  [0.11679129 2.43859509]],4,"{0: 688, 1: 0, 2: 56, 3: 138, 4: 518, 5: 0}",3,0,3
1.6e-07,5,350,3000,6,True,0.10171219685550789,0.26887469538388503,6,6,[2.48483514 0.21635602] [2.15205676 2.74122229] [1.36367658 1.93532778] [1.65379145 3.60787227] [2.93046009 1.68588864] [1.72978247 0.83565705],[0.19343719 0.15765878 0.24342945 0.20391928 0.12804453 0.07351078],[[1.1540927  0.03288285]  [0.03288285 0.64531736]] [[0.81188312 0.42204237]  [0.42204237 0.79573331]] [[1.1635654  0.35216665]  [0.35216665 2.20166488]] [[1.52533624 0.09085071]  [0.09085071 1.25088474]] [[0.92581053 0.27621694]  [0.27621694 0.30039098]] [[ 0.28024923 -0.30655808]  [-0.30655808  2.33971609]],6,"{0: 312, 1: 260, 2: 282, 3: 296, 4: 236, 5: 14}",4,0,3
1.6e-07,6,350,3000,6,True,0.008232976752303608,0.029972258664775063,2,2,[2.01127358 1.68433611] [1.88072874 3.70713348],[8.56661196e-01 7.64407657e-04 1.42574396e-01 1.13074962e-10 1.80919915e-17 2.89471822e-24],[[1.504026   0.10673051]  [0.10673051 2.16264637]] [[1.08832391 0.10679037]  [0.10679037 0.73437058]],2,"{0: 1290, 1: 0, 2: 110, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,7,350,3000,6,True,0.07892970358120005,0.2153627932568126,6,6,[1.45319316 1.04435032] [2.99810006 2.70445379] [1.47808671 3.1202972 ] [3.03828581 0.90156573] [1.95970174 1.68031404] [0.61908704 0.40631739],[0.20764488 0.12581598 0.2400446  0.15785088 0.19072372 0.07791995],[[ 0.73074584 -0.61975509]  [-0.61975509  1.94625974]] [[ 0.59446269 -0.01583202]  [-0.01583202  0.50509334]] [[1.38263159 0.65891083]  [0.65891083 1.50903964]] [[ 0.51394186 -0.10606411]  [-0.10606411  0.78863258]] [[ 0.10292199 -0.00496727]  [-0.00496727  1.97961949]] [[0.37853817 0.12013214]  [0.12013214 0.99096113]],6,"{0: 226, 1: 168, 2: 354, 3: 210, 4: 358, 5: 84}",5,0,4
1.6e-07,8,350,3000,6,True,0.13009715963150298,0.550725689703916,3,3,[2.05212529 2.45086078] [2.19688479 0.94407202] [1.46152416 3.68802581],[1.87961501e-01 5.04083591e-01 3.07954908e-01 1.13840204e-10 1.82144302e-17 2.91430840e-24],[[1.76239676 0.64714637]  [0.64714637 0.47241063]] [[1.52334933 0.2268433 ]  [0.2268433  1.27753018]] [[1.1506933  0.27219208]  [0.27219208 1.02304898]],3,"{0: 326, 1: 664, 2: 410, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,9,350,3000,6,True,0.022314050461293367,0.0401636195149457,4,4,[3.13335574 0.43057935] [2.80511014 2.53549565] [1.37935149 1.91676014] [0.30202244 2.18736438],[1.07731436e-01 7.67088913e-04 3.94015523e-01 3.64157172e-01 1.33328780e-01 1.13254050e-10],[[ 0.45963253 -0.23595988]  [-0.23595988  1.18225856]] [[ 0.62680086 -0.12721775]  [-0.12721775  2.1145051 ]] [[ 0.30570258 -0.24569272]  [-0.24569272  2.40409681]] [[0.68295435 0.18639423]  [0.18639423 2.861793  ]],4,"{0: 116, 1: 0, 2: 534, 3: 618, 4: 132, 5: 0}",3,0,1
1.6e-07,10,350,3000,6,True,0.07851436980811259,0.27896459093672654,3,3,[1.92033795 2.59120959] [-0.49016237  1.62957826] [1.89068981 0.4498427 ],[6.82021132e-01 3.68850999e-02 2.81093768e-01 1.13660374e-10 1.81856575e-17 2.90970477e-24],[[ 1.12930034 -0.11966148]  [-0.11966148  1.80205718]] [[ 1.57609669 -0.26009231]  [-0.26009231  1.39328985]] [[1.2011406  0.20522515]  [0.20522515 1.17649992]],3,"{0: 1002, 1: 28, 2: 370, 3: 0, 4: 0, 5: 0}",1,0,0
1.6e-07,11,350,3000,6,True,0.08417358750486735,0.3238128328722352,5,5,[0.80243654 2.32419999] [2.84818279 3.32155845] [2.37734467 1.34594148] [2.30351668 2.97119459] [2.12842193 0.07078525],[2.11965960e-01 1.78181754e-01 1.87931773e-01 2.17122968e-01 2.04797544e-01 1.13381745e-10],[[ 0.94307567 -0.02800194]  [-0.02800194  1.91721822]] [[ 0.67986136 -0.13761166]  [-0.13761166  2.03693843]] [[ 0.85046079 -0.24495578]  [-0.24495578  0.37735415]] [[ 0.99922055 -0.30908372]  [-0.30908372  0.75112386]] [[ 0.8948099  -0.21972357]  [-0.21972357  0.84905125]],5,"{0: 268, 1: 140, 2: 340, 3: 380, 4: 272, 5: 0}",3,0,0
1.6e-07,12,350,3000,6,True,0.1127185387783096,0.509125029037819,4,3,[2.16238155 2.78057569] [1.9596193  0.68557454] [4.01605531 4.01986022] [-0.21787663  3.01765616],[5.91219659e-01 3.60175379e-01 6.60552123e-03 7.41073464e-04 4.12583670e-02 1.08690639e-10],[[ 0.98621749 -0.07066631]  [-0.07066631  1.67939345]] [[ 1.2380777  -0.01532953]  [-0.01532953  1.25295002]] [[1.7889638  1.36277079]  [1.36277079 2.54872998]] [[ 0.74205452 -0.10600185]  [-0.10600185  1.79703545]],4,"{0: 844, 1: 510, 2: 4, 3: 0, 4: 42, 5: 0}",1,0,0
1.6e-07,13,350,3000,6,True,0.1399233524436587,0.49376842644678365,4,4,[1.6257748 1.087971 ] [3.11458852 1.59539726] [1.77031557 3.12366731] [0.47138788 4.84702717],[3.44610710e-01 2.97895373e-01 3.43928816e-01 1.35651012e-02 1.08178143e-10 1.73085004e-17],[[1.06978112 0.12751255]  [0.12751255 0.92575926]] [[1.00783113 0.2156164 ]  [0.2156164  3.29281944]] [[1.41763789 0.12464524]  [0.12464524 0.81266427]] [[ 0.78225106 -0.65260083]  [-0.65260083  3.23432045]],4,"{0: 484, 1: 370, 2: 536, 3: 10, 4: 0, 5: 0}",1,0,1
1.6e-07,14,350,3000,6,True,0.14028251339851336,0.5214138306090256,5,5,[2.94508752 2.34707428] [0.57081454 2.82122177] [2.09613919 0.92727369] [2.23990939 3.78924838] [1.73364071 1.96525255],[9.57955143e-02 6.41864929e-02 4.70006841e-01 2.23736902e-01 1.46274250e-01 1.13247422e-10],[[ 0.79581428 -0.09058783]  [-0.09058783  0.20936487]] [[ 0.63037509 -0.1382139 ]  [-0.1382139   0.47934984]] [[ 1.69849482 -0.14530077]  [-0.14530077  1.36471973]] [[ 1.16124856 -0.14920278]  [-0.14920278  0.91423119]] [[ 0.12001435 -0.13705583]  [-0.13705583  2.18839032]],5,"{0: 160, 1: 86, 2: 680, 3: 324, 4: 150, 5: 0}",4,0,0
1.6e-07,15,350,3000,6,True,0.13559898577772306,0.6742598213804423,3,3,[2.35799157 3.02210828] [2.18155583 0.86147806] [0.51104586 2.258018  ],[4.72203612e-01 4.08871273e-01 7.62120059e-04 1.18162995e-01 1.12694596e-10 1.80311327e-17],[[1.01420663 0.09853409]  [0.09853409 1.41604509]] [[1.17991558 0.11268133]  [0.11268133 1.39776466]] [[0.41460501 0.05795848]  [0.05795848 2.38848587]],3,"{0: 696, 1: 562, 2: 0, 3: 142, 4: 0, 5: 0}",1,1,0
1.6e-07,16,350,3000,6,True,0.0,0.0,1,1,[1.98346003 1.93399292],[1.00000000e+00 1.14204130e-10 1.82726588e-17 2.92362506e-24 4.67779948e-31 7.48447808e-38],[[1.40734569 0.03774578]  [0.03774578 2.4050549 ]],1,"{0: 1400, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,17,350,3000,6,True,0.06414110005627573,0.20517019086181,5,5,[4.37756105 3.31926385] [1.52435777 1.45959172] [2.48947142 2.77151265] [2.55692324 0.58436839] [0.34171495 2.12499209],[0.00844926 0.23105602 0.41618183 0.000765   0.16664873 0.17689916],[[2.63756366 1.27420515]  [1.27420515 1.67721631]] [[0.23977143 0.03977032]  [0.03977032 1.69081095]] [[ 0.95207887 -0.27987537]  [-0.27987537  1.62673811]] [[0.49023181 0.10363774]  [0.10363774 1.30831443]] [[0.52900366 0.02928679]  [0.02928679 2.60934186]],5,"{0: 6, 1: 350, 2: 632, 3: 0, 4: 174, 5: 238}",4,1,2
1.6e-07,18,350,3000,6,True,0.0005622975181484878,0.008176893515788873,2,2,[1.35039929 3.32034771] [2.06469783 1.7367834 ],[1.10818996e-01 8.89181004e-01 1.14112526e-10 1.82580020e-17 2.92127993e-24 4.67404721e-31],[[0.43899671 0.0946747 ]  [0.0946747  1.5487917 ]] [[1.58032199 0.11621847]  [0.11621847 2.48728465]],2,"{0: 34, 1: 1366, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,19,350,3000,6,True,0.10114273946695915,0.3099886695298014,2,2,[1.94809313 0.60033317] [1.8592489  2.61589691],[2.87228940e-01 7.12771060e-01 1.14089877e-10 1.82543782e-17 2.92070013e-24 4.67311952e-31],[[1.54642041 0.10105104]  [0.10105104 1.01373418]] [[1.49661596 0.10853411]  [0.10853411 1.70326484]],2,"{0: 380, 1: 1020, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
0.16666666666666666,0,350,3000,6,True,-0.0006968747342641236,0.0023919871491044423,3,3,[-0.07447236  1.28184827] [1.3683555  2.04819378] [3.06125171 2.11626683],[7.67318136e-04 4.68517617e-02 5.88915941e-01 3.63348756e-01 1.01697220e-04 1.45261308e-05],[[ 1.89451564 -0.42536769]  [-0.42536769  1.76958863]] [[ 0.59928786 -0.0822482 ]  [-0.0822482   2.70662769]] [[0.57791677 0.00286363]  [0.00286363 2.11152147]],3,"{0: 0, 1: 30, 2: 882, 3: 488, 4: 0, 5: 0}",3,0,2
0.16666666666666666,1,350,3000,6,True,0.17175174897375964,0.7150338220139344,2,2,[1.92815284 3.09838437] [1.83937089 1.15682083],[4.33444079e-01 5.66437068e-01 1.01918700e-04 1.45577304e-05 2.07967504e-06 2.97096434e-07],[[ 1.2510162  -0.18491022]  [-0.18491022  1.36991821]] [[ 1.49546871 -0.12416891]  [-0.12416891  1.58399466]],2,"{0: 586, 1: 814, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
0.16666666666666666,2,350,3000,6,True,0.00029104277614618317,-0.003246058744581717,2,2,[2.07151083 2.01687559] [1.02539562 0.13115282],[9.35560385e-01 7.57915912e-04 6.35655849e-02 9.98193761e-05 1.42579488e-05 2.03684914e-06],[[ 1.44791861 -0.04184668]  [-0.04184668  2.37615394]] [[0.6683716  0.24201184]  [0.24201184 0.90856301]],2,"{0: 1378, 1: 0, 2: 22, 3: 0, 4: 0, 5: 0}",0,0,0
0.16666666666666666,3,350,3000,6,True,0.0017725549141418475,-0.0023137820531860093,2,2,[1.73493641 1.99542289] [2.92672966 2.62272401],[7.59452885e-01 2.40428465e-01 1.01744183e-04 1.45328266e-05 2.07611736e-06 2.96588195e-07],[[1.32806998 0.04878012]  [0.04878012 2.42308275]] [[ 0.91921867 -0.50128473]  [-0.50128473  2.3049259 ]],2,"{0: 1172, 1: 228, 2: 0, 3: 0, 4: 0, 5: 0}",1,0,1
0.16666666666666666,4,350,3000,6,True,0.01259013335469596,0.027087631180635494,4,4,[1.41314484 1.80820128] [-0.41487662  1.45080362] [1.69823924 3.62444405] [3.1784796  1.72975636],[4.41218569e-01 7.66907096e-04 5.49051144e-02 1.38733350e-01 3.64274614e-01 1.01445727e-04],[[ 0.48789041 -0.0555624 ]  [-0.0555624   1.77169323]] [[ 0.81835074 -0.17221553]  [-0.17221553  2.77366515]] [[ 1.06035649 -0.23332634]  [-0.23332634  0.87711072]] [[0.75300885 0.11680061]  [0.11680061 2.43857072]],4,"{0: 688, 1: 0, 2: 56, 3: 138, 4: 518, 5: 0}",3,0,3
