Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
1.6e-07,0,450,1000,6,True,0.026976542275962127,0.09201186274212529,4,4,[1.31105891 1.86605118] [2.82344484 2.82675985] [2.9660901  0.82202804] [-0.3255483   1.43688618],[5.23998652e-01 3.09172144e-01 5.94356134e-04 1.28530071e-01 3.77047768e-02 8.68794312e-11],[[ 0.56436353 -0.17860761]  [-0.17860761  2.65595874]] [[ 0.74016025 -0.06624659]  [-0.06624659  1.35227142]] [[ 0.64783513 -0.14226312]  [-0.14226312  0.81196252]] [[ 1.4309421  -0.29768531]  [-0.29768531  1.75556657]],4,"{0: 1060, 1: 518, 2: 0, 3: 186, 4: 36, 5: 0}",3,0,3
1.6e-07,1,450,1000,6,True,0.04684990546090875,0.18391214378572157,3,3,[2.05405425 0.75669809] [2.46975146 3.129113  ] [1.5163937  1.72287394],[1.58635654e-01 2.96679307e-01 5.44685039e-01 8.86905825e-11 1.41904913e-17 2.27047828e-24],[[2.90829915 0.40024393]  [0.40024393 1.26499939]] [[ 0.8727441  -0.27373295]  [-0.27373295  1.3774566 ]] [[ 0.94727089 -0.47165026]  [-0.47165026  2.25553279]],3,"{0: 116, 1: 502, 2: 1182, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,2,450,1000,6,True,0.04990426467547954,0.10390992648465601,5,5,[2.11396123 2.46874796] [3.4189882 1.9350177] [0.9634685 2.4587236] [1.86997017 0.4156888 ] [4.1069071  0.87645962],[2.78100516e-01 1.78218431e-01 3.17347383e-01 1.94658376e-01 3.16752944e-02 8.69464370e-11],[[0.37600863 0.11469927]  [0.11469927 1.54153173]] [[0.41611689 0.38975789]  [0.38975789 2.23239423]] [[0.71993762 0.24576499]  [0.24576499 2.38152391]] [[1.09218084 0.22112944]  [0.22112944 1.0250478 ]] [[ 1.19126932 -0.04919826]  [-0.04919826  1.85840398]],5,"{0: 560, 1: 352, 2: 516, 3: 338, 4: 34, 5: 0}",4,0,2
1.6e-07,3,450,1000,6,True,0.117250135773176,0.4384372391889874,4,4,[2.13383981 2.97629708] [1.15088132 0.95533099] [0.91301396 2.26499412] [2.29458244 0.55216635],[5.59789938e-01 8.56937639e-02 7.53854402e-02 2.79130857e-01 8.84136568e-11 1.41461830e-17],[[ 1.2713397  -0.12514149]  [-0.12514149  1.53302113]] [[1.26282196 0.31861447]  [0.31861447 0.36167782]] [[1.3779146  0.00825046]  [0.00825046 0.20580868]] [[1.41464127 0.38840354]  [0.38840354 1.286376  ]],4,"{0: 1116, 1: 120, 2: 62, 3: 502, 4: 0, 5: 0}",2,0,1
1.6e-07,4,450,1000,6,True,0.08707162631756894,0.3359464264021188,4,4,[3.13067779 1.70567168] [1.44618606 1.15136576] [1.52505751 3.14986884] [-0.36988255  1.48101899],[0.00059768 0.3546339  0.27110237 0.31794172 0.00058925 0.05513507],[[0.73194287 0.23355981]  [0.23355981 2.70077018]] [[ 0.53870795 -0.04188321]  [-0.04188321  1.04990327]] [[ 0.79066029 -0.07010732]  [-0.07010732  1.10090918]] [[ 0.85717123 -0.25427741]  [-0.25427741  2.60561125]],4,"{0: 0, 1: 640, 2: 506, 3: 578, 4: 0, 5: 76}",3,0,3
1.6e-07,5,450,1000,6,True,0.006549829027139471,0.01277398515011433,2,2,[2.00192628 2.27801711] [1.98459104 0.31176738],[8.45705881e-01 1.54294119e-01 8.85209703e-11 1.41633536e-17 2.26613627e-24 3.62581750e-31],[[ 1.40633    -0.04824083]  [-0.04824083  2.24990344]] [[1.45106949 0.07306694]  [0.07306694 1.00116009]],2,"{0: 1674, 1: 126, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,6,450,1000,6,True,0.13520883715088708,0.4243336516329831,5,5,[1.79485421 1.73493085] [1.84909386 3.46434456] [3.99218885 2.08719874] [1.75333132 0.23980828] [2.77430095 1.31205395],[2.62077405e-01 3.56855113e-01 3.15282355e-02 2.23519314e-01 1.26019933e-01 8.81166061e-11],[[1.17713952 0.10983147]  [0.10983147 0.49191267]] [[1.26049955 0.14331199]  [0.14331199 0.88656848]] [[1.29762553 0.32675123]  [0.32675123 1.37327158]] [[ 1.53199216 -0.0687439 ]  [-0.0687439   1.01369786]] [[0.31921473 0.30232164]  [0.30232164 2.11099534]],5,"{0: 592, 1: 678, 2: 30, 3: 412, 4: 88, 5: 0}",3,0,2
1.6e-07,7,450,1000,6,True,0.07910110959100569,0.21345426056993375,4,4,[1.41624673 0.64033242] [1.89893444 2.26345424] [2.83511325 2.19788247] [0.71988167 2.78625665],[3.07665730e-01 1.84473523e-01 3.78998214e-01 5.93275662e-04 1.28269256e-01 8.79135367e-11],[[ 1.18212399 -0.19329876]  [-0.19329876  1.16886106]] [[ 0.12672553 -0.02798379]  [-0.02798379  2.00479256]] [[ 0.74192677 -0.0830324 ]  [-0.0830324   2.21354813]] [[ 0.48768917 -0.08150575]  [-0.08150575  0.9238775 ]],4,"{0: 560, 1: 380, 2: 634, 3: 0, 4: 226, 5: 0}",3,0,0
1.6e-07,8,450,1000,6,True,0.08050484538553078,0.23767954732118607,6,6,[1.07465308 1.29853515] [2.23424038 0.40634148] [3.61488403 1.84983527] [2.71619013 2.72067136] [1.69841153 3.71378146] [2.69971994 1.07666869],[0.36597759 0.07681965 0.11306657 0.115159   0.24123244 0.08774475],[[ 1.01290225 -0.22699906]  [-0.22699906  1.93631847]] [[ 0.19767799 -0.15602275]  [-0.15602275  1.21881163]] [[ 0.98064384 -0.30883576]  [-0.30883576  1.24239207]] [[1.05134545 0.28533617]  [0.28533617 0.3819638 ]] [[0.86216426 0.15728224]  [0.15728224 1.10240877]] [[ 0.57365548 -0.34174431]  [-0.34174431  0.4135116 ]],6,"{0: 674, 1: 120, 2: 124, 3: 238, 4: 442, 5: 202}",6,0,5
1.6e-07,9,450,1000,6,True,0.13084630163580613,0.5136024778691964,5,5,[2.59213281 0.25966103] [1.77223706 3.08513395] [0.05421197 1.12957409] [1.24051691 1.63615383] [2.71786083 1.57090391],[0.20565364 0.4280669  0.03101883 0.14632436 0.13276485 0.05617141],[[ 0.88853542 -0.13081252]  [-0.13081252  0.87466414]] [[1.37011333 0.07632966]  [0.07632966 1.54564106]] [[0.80377013 0.85050584]  [0.85050584 2.05900028]] [[0.16823705 0.13970082]  [0.13970082 1.96211749]] [[0.84667843 0.0653395 ]  [0.0653395  0.27371398]],6,"{0: 334, 1: 896, 2: 32, 3: 260, 4: 278, 5: 0}",4,0,4
