NumSamples,Mean ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev
50,0.7898151057021898,0.054512349771113446,1.0,4.0,0.0
100,0.7786503933145938,0.023557832807977575,1.0,4.1,0.3
150,0.7841457802600139,0.026059667808450346,0.7,4.4,0.4898979485566356
200,0.7694698018936915,0.027008866090042827,0.6,4.4,0.4898979485566356
250,0.7821735331231068,0.03371440908685373,0.1,4.7,0.6403124237432849
300,0.7818031852631326,0.021384973314507123,0.4,4.3,0.45825756949558405
350,0.7592024019564707,0.023499952907407497,0.5,4.5,0.5
400,0.7883382793515981,0.021765065490523493,0.3,4.7,0.6403124237432849
450,0.7724305436704186,0.033352619627792214,0.1,5.0,0.4472135954999579
