NumSamples,Mean ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev,MaxIters,MaxCats,Concentration
50,0.7772482371625383,0.06816526352141145,1.0,4.0,0.0,200,6,0.16666666666666666
100,0.7974396240208038,0.04151299070873182,1.0,4.1,0.3,200,6,0.16666666666666666
150,0.7899660138996852,0.03483371097340848,1.0,4.1,0.3,200,6,0.16666666666666666
200,0.7896396928279084,0.044012706854103426,1.0,4.1,0.3,200,6,0.16666666666666666
250,0.7920300463421877,0.03941438906362059,1.0,4.1,0.3,200,6,0.16666666666666666
300,0.8023436769962953,0.030971598384663325,0.9,4.0,0.0,200,6,0.16666666666666666
350,0.7839639417772258,0.045673163254908895,0.9,4.5,0.5,200,6,0.16666666666666666
400,0.7949327029107308,0.02884518452791389,0.8,4.2,0.6,200,6,0.16666666666666666
450,0.8027285735941101,0.02106775184641248,0.5,4.4,0.4898979485566356,200,6,0.16666666666666666
