Concentration,Mean ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev
1e-13,0.7367321726878524,0.05590345770789395,0.9,3.9,0.3
0.016666666666666635,0.7555608137175767,0.05441837526557344,1.0,4.0,0.0
0.06666666666666665,0.7526096854612058,0.07073928860381595,1.0,4.0,0.0
0.11666666666666665,0.7421773460381927,0.08784773579641841,1.0,3.9,0.3
0.16666666666666666,0.7900858572987374,0.07915795549825115,1.0,4.1,0.3
0.21666666666666667,0.7403691768048182,0.053227036290605545,1.0,4.0,0.0
0.26666666666666666,0.7910657326366939,0.051862696415344085,1.0,4.0,0.0
0.31666666666666665,0.7454190089732906,0.031231892711012284,1.0,4.0,0.0
0.3666666666666667,0.7825157012393265,0.05233972972142797,1.0,4.0,0.0
0.41666666666666663,0.7649020536062489,0.06250519659434389,1.0,4.0,0.0
0.4666666666666667,0.7752472149994983,0.060188631504061,0.9,4.0,0.0
0.5166666666666667,0.7705611177316594,0.04167346347194366,1.0,4.0,0.0
0.5666666666666667,0.751639362688751,0.06631323202176646,1.0,4.0,0.0
0.6166666666666667,0.768220240657496,0.04442684588108396,1.0,4.0,0.0
0.6666666666666666,0.7484240646691328,0.08154578760888552,0.9,3.9,0.3
0.7166666666666667,0.7327699909580054,0.10852894873745085,0.8,4.0,0.0
0.7666666666666667,0.7300724438333651,0.108116190078748,0.9,3.9,0.3
0.8166666666666667,0.7584830726376544,0.08293614947105578,1.0,3.9,0.3
0.8666666666666667,0.754743569905038,0.03934443819205563,1.0,4.0,0.0
0.9166666666666666,0.7183591484121916,0.07102192865696152,0.9,3.9,0.3
0.9666666666666667,0.7494205387963191,0.08916601500837204,0.9,4.0,0.0
1.0166666666666668,0.7748803872035313,0.07406026475041387,0.9,4.0,0.0
1.0666666666666667,0.7297372293033186,0.03956503976314738,1.0,4.0,0.0
1.1166666666666667,0.7491438042950971,0.06949201110053678,1.0,4.1,0.3
1.1666666666666667,0.7843573470370045,0.08175505880995562,1.0,4.0,0.0
1.2166666666666668,0.7565597852810736,0.0862382112403296,1.0,3.9,0.3
1.2666666666666668,0.7473090544338097,0.060592245621672564,1.0,4.0,0.0
1.3166666666666669,0.7746784808535236,0.048544585549367275,1.0,4.0,0.0
1.366666666666667,0.7395627964954923,0.08254663783172592,1.0,3.9,0.3
1.4166666666666667,0.7868904147112864,0.06542065500492014,1.0,4.0,0.0
1.4666666666666668,0.7167558925007744,0.09269284208756373,0.8,4.0,0.0
1.5166666666666668,0.7715672824003954,0.052966475435981805,1.0,4.1,0.3
1.5666666666666669,0.7714155421595617,0.0483426202687906,1.0,4.0,0.0
1.616666666666667,0.7615357534247721,0.04972365551824757,1.0,4.0,0.0
