NumSamples,Mean ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev,MaxIters,MaxCats,Concentration
50,0.7772482371625383,0.06816526352141145,1.0,4.0,0.0,100,6,0.16666666666666666
100,0.7974396240208038,0.04151299070873182,1.0,4.1,0.3,100,6,0.16666666666666666
150,0.78954748932225,0.03507504549000379,0.7,4.1,0.3,100,6,0.16666666666666666
200,0.7886275758291332,0.04433056372999732,0.8,4.1,0.3,100,6,0.16666666666666666
250,0.7924809467837522,0.039031470543387424,0.8,4.1,0.3,100,6,0.16666666666666666
300,0.789674700432244,0.03504938382503203,0.1,4.7,0.45825756949558405,100,6,0.16666666666666666
350,0.7765177376567578,0.047292847099116735,0.4,4.7,0.45825756949558405,100,6,0.16666666666666666
400,0.7800384317314469,0.04410843421009347,0.2,4.9,0.8306623862918076,100,6,0.16666666666666666
450,0.7885476461952147,0.03283300070609691,0.1,5.2,0.6,100,6,0.16666666666666666
