,Concentration,Mean ARI,Mean height ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev,MaxIters,Num seeds,Mean nasal splits,Stdev nasal splits,Samples,MaxCats
1,0.166666667,0.082199698,0.307840209,0.049204146,0.95,3.9,1.135781669,1000,20,0.875,1.278426768,400,6
2,1,0.082378048,0.307144204,0.050250249,0.95,3.95,1.116915395,1000,20,0.875,1.278426768,400,6
6,10000,0.086070519,0.299619969,0.054900302,0.95,4.55,1.071214264,1000,20,1.475,1.635351644,250,6
5,1000,0.085686488,0.288894584,0.042242372,0.95,4.2,1.208304597,1000,20,1.2,1.452583905,350,6
5,1000,0.084117884,0.27863803,0.050178658,0.95,4.8,1.029563014,1000,20,1.45,1.59608897,250,6
4,100,0.079771656,0.277055725,0.054279518,0.95,4.2,1.326649916,1000,20,1.2,1.568438714,250,6
3,10,0.071270055,0.257978956,0.059079259,0.95,3.85,1.351850583,1000,20,1.075,1.555434023,250,6
4,100,0.069032452,0.253163144,0.055071462,0.95,3.85,1.061838029,1000,20,1.125,1.399776768,300,6
1,0.166666667,0.070625517,0.250230828,0.060867991,0.95,3.55,1.359227722,1000,20,0.95,1.456880228,250,6
2,1,0.06840394,0.244269219,0.060564396,0.95,3.6,1.428285686,1000,20,0.95,1.456880228,250,6
7,100000,0.104278128,0.35419401,0.038827751,0.9,4.3,0.953939201,1000,20,1.1,1.374772708,350,6
5,1000,0.096214697,0.333349709,0.037502418,0.9,4.9,0.943398113,1000,20,1.475,1.767590167,450,6
5,1000,0.087216208,0.328174,0.052667576,0.9,4.55,0.739932429,1000,20,1.325,1.376362961,300,6
7,100000,0.092109627,0.317714818,0.038344613,0.9,4.75,0.887411967,1000,20,1.425,1.539277428,300,6
3,10,0.079437226,0.30011124,0.052000774,0.9,3.95,1.116915395,1000,20,0.925,1.320747894,400,6
4,100,0.07473508,0.295168894,0.053167419,0.9,3.95,1.160818677,1000,20,0.95,1.293251716,400,6
6,10000,0.106564632,0.364294387,0.025030187,0.85,4.95,0.804673847,1000,20,1.55,1.745709025,450,6
7,100000,0.106866619,0.364165512,0.024994168,0.85,4.9,0.830662386,1000,20,1.525,1.746245974,450,6
5,1000,0.08799067,0.338486671,0.044038219,0.85,4.75,0.993730346,1000,20,1.475,1.760504189,400,6
4,100,0.07807265,0.279877077,0.053849928,0.85,3.75,1.299038106,1000,20,1,1.387443693,350,6
3,10,0.080299131,0.27948658,0.044106484,0.85,4.2,1.166190379,1000,20,1.15,1.558043645,450,6
3,10,0.074768994,0.275505589,0.055507885,0.85,3.75,1.409787218,1000,20,0.95,1.340708768,350,6
3,10,0.068982325,0.272604492,0.059637735,0.85,3.45,1.24398553,1000,20,0.9,1.401784577,300,6
2,1,0.076545253,0.268295451,0.046495676,0.85,4.2,1.166190379,1000,20,1.15,1.566045976,450,6
0,1.60E-07,0.076619774,0.26780098,0.046559138,0.85,4.15,1.152171862,1000,20,1.125,1.560248378,450,6
1,0.166666667,0.076576099,0.267702125,0.046625208,0.85,4.15,1.152171862,1000,20,1.125,1.560248378,450,6
1,0.166666667,0.070837784,0.264516757,0.056720041,0.85,3.5,1.431782106,1000,20,0.85,1.333229163,350,6
2,1,0.07080559,0.264478204,0.056860201,0.85,3.5,1.431782106,1000,20,0.875,1.335805001,350,6
0,1.60E-07,0.070939853,0.264472302,0.056767324,0.85,3.5,1.431782106,1000,20,0.85,1.333229163,350,6
6,10000,0.099740712,0.343329161,0.042306992,0.8,4.3,1.004987562,1000,20,1.1,1.365650028,350,6
6,10000,0.099150021,0.345795168,0.035633171,0.75,4.85,0.726291952,1000,20,1.5,1.680773631,500,6
7,100000,0.097480569,0.336136373,0.035648599,0.75,4.95,0.739932429,1000,20,1.525,1.680587695,500,6
0,1.60E-07,0.084260215,0.297946042,0.044730111,0.75,4.1,1.178982612,1000,20,1.125,1.477963125,500,6
1,0.166666667,0.0842397,0.297554646,0.044804451,0.75,4.1,1.178982612,1000,20,1.125,1.477963125,500,6
2,1,0.08403463,0.296505937,0.044861184,0.75,4.1,1.178982612,1000,20,1.15,1.467140075,500,6
4,100,0.084979972,0.284035513,0.037173565,0.75,4.55,1.203120942,1000,20,1.425,1.855902745,450,6
4,100,0.083102454,0.284195146,0.040380472,0.7,4.25,1.042832681,1000,20,1.175,1.464368465,500,6
3,10,0.083103788,0.292596573,0.045483557,0.65,4.1,1.178982612,1000,20,1.15,1.467140075,500,6
5,1000,0.102109384,0.359890138,0.035447206,0.55,4.85,0.653834842,1000,20,1.725,1.823286867,500,6
