Name,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
contextless,1.6e-07,202,300,3000,6,True,0.4899404845228743,0.963657512891774,3,3,[1.07491187 1.90746797] [2.30066073 0.0200315 ] [1.08215532 5.08614655],[8.92101511e-04 2.79387204e-02 8.90463610e-04 4.79883576e-01 4.90395138e-01 1.32658922e-10],[[0.36461233 0.09605123]  [0.09605123 1.79339436]] [[0.79800112 0.02660392]  [0.02660392 0.70059151]] [[0.81357065 0.03260146]  [0.03260146 0.72266463]],3,"{0: 0, 1: 22, 2: 0, 3: 586, 4: 592, 5: 0}",0,0,0
context,1.6e-07,202,300,3000,6,True,0.46403191976497676,0.8686985538868977,4,4,[1.67077397 0.04477802] [-0.08753827  4.73186063] [1.3101284  2.73057348] [1.2905222  5.15210315],[0.49262607 0.07443835 0.01938998 0.00088437 0.00088245 0.4117788 ],[[1.17963806 0.00646912]  [0.00646912 0.73093501]] [[ 0.33387535 -0.10251784]  [-0.10251784  0.73660881]] [[ 0.13096379 -0.11816449]  [-0.11816449  1.82952471]] [[ 0.61757306 -0.02840947]  [-0.02840947  0.70714575]],4,"{0: 596, 1: 78, 2: 12, 3: 0, 4: 0, 5: 514}",1,1,0
base,1.6e-07,203,300,3000,6,True,0.4960389968041097,1.0,2,2,[1.31045281 0.06175082] [1.31018514 5.05180417],[4.99356351e-01 8.93239015e-04 8.94666634e-04 4.98855743e-01 1.32559718e-10 2.12095517e-17],[[0.7607151  0.00273322]  [0.00273322 0.74299183]] [[0.75697217 0.00321002]  [0.00321002 0.76489556]],2,"{0: 598, 1: 0, 2: 0, 3: 602, 4: 0, 5: 0}",0,0,0
contextless,1.6e-07,203,300,3000,6,True,0.490846592445526,0.9669715715390103,3,3,[0.52626169 2.62168639] [2.51995694 0.01644856] [1.3418682  5.08500824],[2.59981757e-02 8.89559208e-04 4.85161687e-01 4.87950578e-01 1.32768638e-10 2.12429790e-17],[[ 0.9098145  -0.58708975]  [-0.58708975  1.60238202]] [[0.76268155 0.00852244]  [0.00852244 0.67286205]] [[ 0.71978701 -0.04210225]  [-0.04210225  0.72346321]],3,"{0: 20, 1: 0, 2: 586, 3: 594, 4: 0, 5: 0}",0,0,0
context,1.6e-07,203,300,3000,6,True,0.4935140108095888,0.9900138120128226,3,3,[0.40230613 2.66907747] [1.33232922 5.07359661] [1.91113362 0.03852391],[1.64075757e-02 4.92974260e-01 4.90618164e-01 1.32884288e-10 2.12614832e-17 3.40183681e-24],[[ 0.88014653 -0.47917058]  [-0.47917058  1.94010706]] [[ 0.72886082 -0.02796928]  [-0.02796928  0.73714868]] [[ 1.12060748 -0.00413002]  [-0.00413002  0.70840304]],3,"{0: 6, 1: 598, 2: 596, 3: 0, 4: 0, 5: 0}",0,0,0
base,1.6e-07,204,300,3000,6,True,0.41896879064840137,0.7245524502337691,4,4,[1.22404053 5.03164105] [1.63057739 4.37723131] [ 1.6493656  -0.19907126] [0.72870879 0.25919589],[0.0008956  0.44914609 0.00089331 0.05939803 0.28337363 0.20629333],[[ 0.82212697 -0.01467481]  [-0.01467481  0.63544774]] [[0.28628659 0.3512907 ]  [0.3512907  3.13607979]] [[0.5451547  0.08532396]  [0.08532396 0.87270067]] [[0.63091091 0.12225692]  [0.12225692 0.48136309]],4,"{0: 0, 1: 582, 2: 0, 3: 24, 4: 354, 5: 240}",1,0,1
contextless,1.6e-07,204,300,3000,6,True,0.4867751384091767,0.9518468345651285,3,3,[ 2.45224415 -0.00635115] [1.60616818 4.68364393] [1.20482121 5.03076257],[4.94697076e-01 8.29356654e-02 8.88387459e-04 4.21478871e-01 1.32481107e-10 2.11969740e-17],[[ 0.78893011 -0.02661609]  [-0.02661609  0.73875266]] [[0.37133954 0.26635739]  [0.26635739 2.29975179]] [[ 0.83644765 -0.02927746]  [-0.02927746  0.60223565]],3,"{0: 596, 1: 30, 2: 0, 3: 574, 4: 0, 5: 0}",0,0,0
context,1.6e-07,204,300,3000,6,True,0.4763439259503508,0.7347432234846264,4,4,[ 2.31987853 -0.16538685] [1.2718621  0.20118947] [1.22974936 5.02634896] [1.62664742 4.42547651],[2.75956666e-01 8.94289730e-04 2.17829465e-01 4.52822961e-01 5.24966194e-02 1.30634432e-10],[[0.84138983 0.07877746]  [0.07877746 0.87312741]] [[0.91260252 0.07645833]  [0.07645833 0.5401179 ]] [[ 0.81731292 -0.01783826]  [-0.01783826  0.64697842]] [[0.30807456 0.35465936]  [0.35465936 3.12560484]],4,"{0: 356, 1: 0, 2: 238, 3: 588, 4: 18, 5: 0}",1,0,1
base,1.6e-07,205,300,3000,6,True,0.4960389968041097,1.0,2,2,[ 1.36325949 -0.02163783] [1.24182609 5.00634691],[4.22790162e-01 4.97890231e-01 7.93196073e-02 1.31650420e-10 2.10640644e-17 3.37024981e-24],[[ 0.74996972 -0.04351047]  [-0.04351047  0.9347265 ]] [[ 0.74100034 -0.04134034]  [-0.04134034  0.86826575]],3,"{0: 602, 1: 598, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
contextless,1.6e-07,205,300,3000,6,True,0.4289792959671905,0.7474494301512604,4,4,[ 2.77643314 -0.15540098] [1.24549573 5.01066229] [0.36707393 1.91863001] [1.8488221  0.24249861],[3.26789660e-01 4.95879169e-01 1.69957655e-02 1.60335406e-01 1.31756464e-10 2.10810312e-17],[[0.63688593 0.03128153]  [0.03128153 0.89109511]] [[ 0.74077124 -0.04886989]  [-0.04886989  0.86799318]] [[0.47817289 0.04685183]  [0.04685183 1.49084157]] [[0.23035641 0.10322675]  [0.10322675 0.69749765]],4,"{0: 368, 1: 600, 2: 14, 3: 218, 4: 0, 5: 0}",1,0,1
context,1.6e-07,205,300,3000,6,True,0.4960389968041097,1.0,2,2,[1.82686876 0.01620919] [1.24154176 5.00523029],[5.01997744e-01 4.98002255e-01 1.32999930e-10 2.12799863e-17 3.40479736e-24 5.44767499e-31],[[ 1.11231262 -0.0769522 ]  [-0.0769522   0.90528345]] [[ 0.74080471 -0.04197616]  [-0.04197616  0.87072756]],2,"{0: 602, 1: 598, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
base,1.6e-07,206,300,3000,6,True,0.4918559524058242,0.9834526408709267,4,3,[-0.40709509  3.11306042] [1.26271866 0.08020507] [-0.37346211  0.06516556] [1.24437631 5.0810664 ],[0.00586734 0.49269001 0.00089479 0.00089208 0.00761043 0.49204536],[[ 1.12403217 -0.30013171]  [-0.30013171  2.26897235]] [[ 0.66124366 -0.00603198]  [-0.00603198  0.82267417]] [[1.04961796 1.3807448 ]  [1.3807448  3.58640654]] [[ 0.67183323 -0.00450945]  [-0.00450945  0.81865059]],4,"{0: 4, 1: 596, 2: 0, 3: 0, 4: 6, 5: 594}",1,0,1
