,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
10,1.6e-07,10,250,1000,6,True,0.449260977103254,5,5,[3.73233404 0.94218484] [0.83204815 1.34213797] [4.46673192 3.57771588] [3.5332666  4.27142221] [0.94593034 4.16972113],[0.00107548 0.27134356 0.1985677  0.17636221 0.16044469 0.19220635],[[1.96441862 0.33333448]  [0.33333448 1.18742073]] [[1.04499364 0.37216387]  [0.37216387 1.6668748 ]] [[1.9093712  0.77114942]  [0.77114942 1.98409823]] [[1.03417706 0.30073279]  [0.30073279 1.44869209]] [[0.99592095 0.20714204]  [0.20714204 1.36828261]],6,"{0: 0, 1: 284, 2: 210, 3: 136, 4: 174, 5: 196}",4,3,1
11,1.6e-07,11,250,1000,6,True,0.504736386671722,4,4,[4.20091151 3.43980941] [0.94446634 0.69006744] [1.21381773 3.72918009] [3.89571185 0.5557473 ],[2.91579546e-01 2.26796021e-01 3.25987509e-01 1.06314887e-03 1.54573776e-01 1.57266294e-10],[[1.22452468 0.31458946]  [0.31458946 2.33770605]] [[1.32483721 0.16563312]  [0.16563312 1.03337127]] [[1.73773831 0.21713678]  [0.21713678 1.47777549]] [[1.01148597 0.11043279]  [0.11043279 0.99328328]],5,"{0: 289, 1: 241, 2: 309, 3: 0, 4: 161, 5: 0}",2,1,1
12,1.6e-07,12,250,1000,6,True,0.5329668525154257,4,4,[3.63656854 3.79657344] [0.64981003 1.02842083] [3.58767577 0.79170819] [0.70040018 4.03480765],[3.62062414e-01 2.00300893e-01 2.53174247e-01 1.84462445e-01 1.58372902e-10 2.53396606e-17],[[1.91067424 0.18283022]  [0.18283022 1.89506716]] [[1.04652955 0.16411551]  [0.16411551 1.22144666]] [[1.74719659 0.16157179]  [0.16157179 1.07930087]] [[1.02602535 0.09425567]  [0.09425567 1.05535432]],4,"{0: 346, 1: 210, 2: 251, 3: 193, 4: 0, 5: 0}",2,1,1
13,1.6e-07,13,250,1000,6,True,0.4240642542942957,4,4,[1.18728412 3.65267022] [3.69967897 1.1554007 ] [4.34724936 4.39592504] [0.83201866 0.7767096 ],[3.56574111e-01 3.56854155e-01 1.33663881e-01 1.52907853e-01 1.58011625e-10 2.52818562e-17],[[1.98598494 0.80126151]  [0.80126151 2.18430606]] [[2.03589071 0.85041028]  [0.85041028 2.37329256]] [[1.07202961 0.57292045]  [0.57292045 1.08215809]] [[1.57240903 0.94082042]  [0.94082042 1.20756574]],4,"{0: 356, 1: 352, 2: 139, 3: 153, 4: 0, 5: 0}",2,1,1
14,1.6e-07,14,250,1000,6,True,0.5082677454258684,4,4,[3.55046307 1.27628137] [0.57270712 1.18751204] [1.01575748 4.11151182] [3.97935267 4.22577082],[3.64927997e-01 2.22353618e-01 2.30992392e-01 1.06426613e-03 1.80661727e-01 1.57474777e-10],[[1.7256429  0.46668316]  [0.46668316 1.96853407]] [[0.96493917 0.50678412]  [0.50678412 2.0017483 ]] [[1.36145972 0.34887044]  [0.34887044 1.37827239]] [[1.10459033 0.3726332 ]  [0.3726332  1.29366076]],5,"{0: 360, 1: 218, 2: 238, 3: 0, 4: 184, 5: 0}",2,1,1
15,1.6e-07,15,250,1000,6,True,0.5415324319862828,4,4,[0.88381339 3.79739457] [0.73299946 0.79433684] [3.69790544 0.95442651] [3.81846265 3.92525371],[2.63839093e-01 1.07395822e-03 1.94948792e-01 2.64065186e-01 2.76072971e-01 1.58542591e-10],[[1.57393195 0.32774882]  [0.32774882 1.43324604]] [[1.57306961 0.29825827]  [0.29825827 1.03012699]] [[1.948502   0.33443284]  [0.33443284 1.14726856]] [[1.81221257 0.36664373]  [0.36664373 1.39406212]],5,"{0: 263, 1: 0, 2: 200, 3: 263, 4: 274, 5: 0}",2,1,1
16,1.6e-07,16,250,1000,6,True,0.5726783267186821,4,4,[3.90156168 1.07110809] [0.85547637 1.03099162] [4.09750817 3.95098325] [1.23378357 4.08949366],[0.2728563  0.00107359 0.21903485 0.24292717 0.0010658  0.26304229],[[1.69492954 0.48670527]  [0.48670527 1.44877296]] [[1.23175824 0.42472516]  [0.42472516 1.52099222]] [[1.55693797 0.63882032]  [0.63882032 1.59739903]] [[1.73130562 0.48247456]  [0.48247456 1.45151428]],6,"{0: 269, 1: 0, 2: 224, 3: 247, 4: 0, 5: 260}",2,1,1
17,1.6e-07,17,250,1000,6,True,0.5066416306737143,6,5,[4.22131729 1.3088497 ] [1.17014587 3.77282078] [-0.62341833  1.37044963] [1.11151098 1.08595657] [2.01663792 0.36696215] [4.32494359 4.31590369],[0.25651694 0.34352691 0.00442381 0.14114415 0.06254864 0.19183954],[[1.2691818  0.39435601]  [0.39435601 1.63370405]] [[1.45122478 0.59460029]  [0.59460029 2.10742319]] [[7.42114455 2.64080083]  [2.64080083 2.95717734]] [[1.32407059 0.99899728]  [0.99899728 1.28818329]] [[0.68449066 0.22372898]  [0.22372898 1.2971726 ]] [[0.97686201 0.43065426]  [0.43065426 1.41942806]],6,"{0: 259, 1: 333, 2: 2, 3: 167, 4: 42, 5: 197}",6,1,5
18,1.6e-07,18,250,1000,6,True,0.3604718114165298,6,6,[0.86276059 3.33208764] [1.50400224 0.62719081] [3.96511037 2.63392866] [3.75235888 4.67493961] [-0.31383883  3.09949644] [4.18716978 0.75056198],[0.22180002 0.27290975 0.16509595 0.20382397 0.01831499 0.11805532],[[ 0.71626124 -0.0388234 ]  [-0.0388234   2.26764124]] [[3.01881191 0.20971967]  [0.20971967 1.56685349]] [[ 1.75967385 -0.07951413]  [-0.07951413  0.64987613]] [[1.97971892 0.13249347]  [0.13249347 0.83359449]] [[ 3.04972553 -0.79093672]  [-0.79093672  1.07957397]] [[ 1.05324038 -0.00453409]  [-0.00453409  1.1335771 ]],6,"{0: 235, 1: 266, 2: 184, 3: 195, 4: 7, 5: 113}",4,2,1
19,1.6e-07,19,250,1000,6,True,0.5478672249817313,4,4,[1.23848412 3.92412305] [3.9553034  1.25765175] [4.24496814 4.25144375] [0.96357818 0.94065777],[0.00107666 0.30201166 0.28205201 0.19690402 0.00106445 0.2168912 ],[[1.66752445 0.43388624]  [0.43388624 1.52068955]] [[1.53924608 0.451874  ]  [0.451874   1.55918516]] [[1.29179254 0.43743543]  [0.43743543 1.29037852]] [[1.43309137 0.47227762]  [0.47227762 1.33615985]],6,"{0: 0, 1: 296, 2: 285, 3: 198, 4: 0, 5: 221}",2,1,1
