Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
1.6e-07,0,400,1000,6,True,0.29461297030611155,0.693282299081003,4,4,[1.00490162 3.20695297] [3.67889965 4.6894939 ] [1.76650432 0.91434248] [2.25645774 4.48611581],[2.10781708e-01 2.77866390e-02 4.58705809e-01 3.02725843e-01 9.95715980e-11 1.59314533e-17],[[0.86495355 0.01452103]  [0.01452103 0.73611208]] [[1.36009848 1.33910503]  [1.33910503 2.78682849]] [[1.51522154 0.44861343]  [0.44861343 1.223175  ]] [[ 0.98728507 -0.10658156]  [-0.10658156  1.1988123 ]],4,"{0: 324, 1: 16, 2: 750, 3: 510, 4: 0, 5: 0}",1,1,0
1.6e-07,1,400,1000,6,True,0.23899467720472967,0.4435297478072558,6,6,[2.48860397 3.38228866] [1.34389455 1.23939897] [0.55717919 1.88154564] [2.32909563 1.13622078] [1.88630495 4.44227802] [4.78970525 3.83859234],[0.2105717  0.07959    0.1807511  0.26974674 0.24897042 0.01037004],[[0.77463323 0.02626403]  [0.02626403 2.92680072]] [[0.68448562 0.78434032]  [0.78434032 1.60643811]] [[0.37563395 0.22673491]  [0.22673491 3.15577403]] [[0.76729782 0.18232175]  [0.18232175 1.36339632]] [[1.15044958 0.3212707 ]  [0.3212707  0.87114875]] [[2.42553359 0.93051979]  [0.93051979 2.7021842 ]],6,"{0: 178, 1: 10, 2: 344, 3: 538, 4: 520, 5: 10}",5,2,3
1.6e-07,2,400,1000,6,True,0.258397416526653,0.5536483320703162,5,5,[1.83883219 0.67674725] [1.63124766 3.73541061] [ 1.51529081 -0.21708557] [0.44024107 2.46921517] [3.18708562 4.21886424],[0.00067225 0.36683128 0.38003887 0.03678131 0.08053272 0.13514357],[[1.76845994 0.55333273]  [0.55333273 0.85553714]] [[0.72903165 0.01999504]  [0.01999504 1.60068245]] [[1.0402262  0.63940291]  [0.63940291 2.36744508]] [[ 0.97171449 -0.28128923]  [-0.28128923  0.53119803]] [[0.80507184 0.21749081]  [0.21749081 1.21920083]],5,"{0: 0, 1: 670, 2: 644, 3: 16, 4: 94, 5: 176}",1,1,0
1.6e-07,3,400,1000,6,True,0.20487698036255755,0.3377273179565583,5,5,[1.98156788 4.54623934] [2.36205103 1.21538013] [0.06587623 1.40064567] [1.28873508 1.13138252] [2.23243615 3.61878586],[2.69380598e-01 2.24313495e-01 1.51534847e-01 1.73822709e-01 1.80948351e-01 9.92131660e-11],[[1.38136382 0.55860774]  [0.55860774 1.16935452]] [[ 0.7529422  -0.01067189]  [-0.01067189  1.00264393]] [[0.25112577 0.13571674]  [0.13571674 2.97033149]] [[0.20902511 0.04729329]  [0.04729329 1.75200435]] [[ 1.84729319 -0.52833107]  [-0.52833107  0.97149537]],5,"{0: 522, 1: 326, 2: 244, 3: 314, 4: 194, 5: 0}",3,0,3
1.6e-07,4,400,1000,6,True,0.240065862247596,0.5723485251911895,5,5,[1.30508041 0.62777641] [1.99145502 4.30749529] [0.5201989  3.15458719] [2.34639482 1.77891121] [4.33760066 4.09900107],[0.36235233 0.36708887 0.09335454 0.00066726 0.13559158 0.04094542],[[1.27688156 0.18320504]  [0.18320504 1.39923218]] [[0.76573273 0.21084366]  [0.21084366 1.20594603]] [[ 0.97320152 -0.12019272]  [-0.12019272  0.70435055]] [[0.54635286 0.03721216]  [0.03721216 0.4832178 ]] [[0.71749696 0.08851395]  [0.08851395 3.54385416]],5,"{0: 584, 1: 634, 2: 106, 3: 0, 4: 218, 5: 58}",2,2,0
1.6e-07,5,400,1000,6,True,0.2510887980352586,0.7058894066386316,4,4,[2.41552364 3.75619416] [1.04973874 3.84330508] [1.7557623  0.88039462] [2.12054214 4.15070423],[0.00067235 0.21908865 0.23690999 0.46246888 0.00066468 0.08019545],[[1.27477333 0.71463785]  [0.71463785 1.92898498]] [[0.91896663 0.28761089]  [0.28761089 1.46661449]] [[1.37555135 0.39238627]  [0.39238627 1.36642359]] [[0.17646775 0.01817084]  [0.01817084 1.6324994 ]],4,"{0: 0, 1: 322, 2: 378, 3: 820, 4: 0, 5: 80}",2,2,0
1.6e-07,6,400,1000,6,True,0.294593098319932,0.7414514210912418,3,3,[1.73965391 1.06094153] [2.41308877 2.90576065] [1.56789326 4.31944305],[5.09467298e-01 1.18640585e-01 3.71892116e-01 9.96432931e-11 1.59429248e-17 2.55086759e-24],[[1.55601949 0.38630047]  [0.38630047 1.54961324]] [[1.33687874 1.01286691]  [1.01286691 1.23195122]] [[1.28337432 0.55180296]  [0.55180296 1.09724489]],3,"{0: 864, 1: 128, 2: 608, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,7,400,1000,6,True,0.2867089537940484,0.601422952571549,4,4,[3.00182812 2.34491427] [1.9374361  4.04588579] [1.24721083 0.38354244] [1.97440503 1.12721967],[1.27387528e-01 4.57119053e-01 2.38075894e-01 1.77417525e-01 9.93671927e-11 1.58987485e-17],[[ 0.63989868 -0.34276367]  [-0.34276367  0.84530575]] [[1.48744751 0.43594427]  [0.43594427 1.17821885]] [[1.08300183 0.05517535]  [0.05517535 1.09467105]] [[ 0.60240844 -0.32262144]  [-0.32262144  0.66615263]],4,"{0: 166, 1: 776, 2: 306, 3: 352, 4: 0, 5: 0}",0,0,0
1.6e-07,8,400,1000,6,True,0.15291339617433122,0.2312597544733929,6,6,[3.2544288  3.96422948] [2.13038454 0.54821428] [0.74405682 2.24966051] [2.22930111 2.78174217] [0.83249475 0.24011462] [1.73636912 4.72876787],[0.10265035 0.15246533 0.14426302 0.19889572 0.16297428 0.23875131],[[0.90746036 0.397444  ]  [0.397444   2.08593724]] [[ 0.59449843 -0.12107032]  [-0.12107032  0.77031405]] [[0.84074713 0.1346786 ]  [0.1346786  0.5214284 ]] [[ 1.32042648 -0.68924304]  [-0.68924304  1.05289387]] [[0.85867516 0.55059397]  [0.55059397 1.31215041]] [[1.00349959 0.18845231]  [0.18845231 0.87504128]],6,"{0: 108, 1: 244, 2: 246, 3: 352, 4: 232, 5: 418}",3,1,1
1.6e-07,9,400,1000,6,True,0.24251767595722482,0.7079999391726292,5,5,[ 1.4296868  -0.14079635] [1.64380172 1.44853833] [1.70210211 4.03443251] [4.52567781 2.5456635 ] [2.62557287 1.04283822],[0.1377591  0.2755687  0.51085304 0.00066658 0.01178085 0.06337173],[[0.51015279 0.08750837]  [0.08750837 1.05432487]] [[1.27556711 0.49332629]  [0.49332629 0.85172776]] [[1.27243634 0.41025015]  [0.41025015 1.52165916]] [[2.33889892 0.44248362]  [0.44248362 2.65439446]] [[ 0.24234854 -0.12747526]  [-0.12747526  0.80178384]],5,"{0: 172, 1: 524, 2: 812, 3: 0, 4: 12, 5: 80}",1,0,1
1.6e-07,10,400,1000,6,True,0.27174429852606036,0.45446925364918417,5,5,[1.75110462 2.69199134] [1.93471737 0.5719226 ] [3.19051042 3.47283675] [1.53632402 4.29212868] [0.68808494 2.06626257],[1.39032943e-01 3.01266214e-01 1.80831669e-01 2.95307513e-01 8.35616613e-02 9.88536050e-11],[[0.27734518 0.17564876]  [0.17564876 1.87929804]] [[1.5484582  0.43228861]  [0.43228861 0.92351297]] [[0.98786426 0.78523049]  [0.78523049 2.57494602]] [[0.83418008 0.17169259]  [0.17169259 1.2597178 ]] [[ 0.58549042 -0.11803034]  [-0.11803034  0.68026088]],5,"{0: 170, 1: 550, 2: 246, 3: 520, 4: 114, 5: 0}",3,1,0
