Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
1.6e-07,0,300,1000,6,True,0.30589183751672266,0.7061034015972848,5,4,[1.74654072 0.90392061] [1.05451356 3.03347075] [3.01755605 0.11834317] [2.21023776 4.47911455] [4.11769743 5.41507588],[4.41699052e-01 1.96948781e-01 4.59158139e-03 3.44832221e-01 1.19283649e-02 1.23820273e-10],[[1.51276728 0.47380504]  [0.47380504 1.09801615]] [[ 0.98799296 -0.08302448]  [-0.08302448  0.60998249]] [[ 1.06849698 -1.34965431]  [-1.34965431  4.32497405]] [[ 1.1015623  -0.002637  ]  [-0.002637    1.13692984]] [[1.55713567 1.62967244]  [1.62967244 3.22864264]],5,"{0: 554, 1: 214, 2: 2, 3: 422, 4: 8, 5: 0}",2,1,1
1.6e-07,1,300,1000,6,True,0.27158630745120144,0.5485527842158741,5,5,[2.98006615 4.26768409] [0.94219151 1.015777  ] [2.80196325 2.30363662] [2.19989771 1.14180547] [1.7985922  4.29219779],[0.06288467 0.00089526 0.25037019 0.0899987  0.22258117 0.37327001],[[ 1.7384449  -0.34054676]  [-0.34054676  3.11299568]] [[0.61581005 0.24145105]  [0.24145105 1.69469154]] [[ 0.67182284 -0.33715062]  [-0.33715062  0.86226812]] [[0.45219749 0.01554437]  [0.01554437 1.27191041]] [[1.11385333 0.34986325]  [0.34986325 0.9654438 ]],5,"{0: 22, 1: 0, 2: 274, 3: 92, 4: 286, 5: 526}",2,1,1
1.6e-07,2,300,1000,6,True,0.29993926401593246,0.6677953731044814,4,4,[2.12539569 3.91111507] [1.89135702 0.59003571] [1.3214161  1.89608541] [0.20030479 2.64778109],[0.47804566 0.34164237 0.00089054 0.00088735 0.12637876 0.05215532],[[1.35914008 0.15039158]  [0.15039158 1.55757104]] [[1.79127093 0.60975331]  [0.60975331 0.90423538]] [[0.18403698 0.0457976 ]  [0.0457976  2.75908958]] [[0.65216121 0.03060434]  [0.03060434 0.39500209]],4,"{0: 604, 1: 472, 2: 0, 3: 0, 4: 74, 5: 50}",1,0,1
1.6e-07,3,300,1000,6,True,0.3079088560145312,0.6861919776250411,4,3,[1.65407799 4.2564115 ] [1.14170077 1.08844944] [2.91992779 1.72536599] [4.69614478 2.30988735],[4.40990631e-01 4.03851760e-01 1.50686586e-01 4.47102234e-03 1.11661929e-10 1.78659060e-17],[[1.41692652 0.5020441 ]  [0.5020441  1.2440663 ]] [[0.89067493 0.36637773]  [0.36637773 1.62196076]] [[0.85032701 0.26675135]  [0.26675135 1.58702613]] [[ 3.43942924 -0.1285397 ]  [-0.1285397   2.184742  ]],4,"{0: 556, 1: 494, 2: 146, 3: 4, 4: 0, 5: 0}",2,0,2
1.6e-07,4,300,1000,6,True,0.20301891865545746,0.4279653183263318,5,5,[4.4355094  3.97397972] [2.10933049 1.60545573] [1.0955446  3.56845224] [1.09703267 0.19895238] [2.26376318 4.42848895],[0.04617827 0.22522727 0.00089427 0.26326787 0.25035344 0.21407887],[[0.72197588 0.0074218 ]  [0.0074218  3.45050104]] [[ 0.68156141 -0.0688963 ]  [-0.0688963   0.50249329]] [[1.21017718 0.37237519]  [0.37237519 1.21503168]] [[1.21095213 0.08903051]  [0.08903051 1.04276131]] [[0.45347577 0.00667997]  [0.00667997 1.16253419]],5,"{0: 48, 1: 304, 2: 0, 3: 264, 4: 278, 5: 306}",3,3,0
1.6e-07,5,300,1000,6,True,0.20454296060572807,0.38530978013635664,5,5,[1.0450578  1.44378961] [2.1315082  3.93689379] [0.93451455 4.0392511 ] [3.02745879 4.09663134] [2.20935323 0.73308187],[2.33466643e-01 1.90184293e-01 1.74446971e-01 1.29574829e-01 2.72327264e-01 1.32209549e-10],[[1.01435379 0.45673463]  [0.45673463 1.57384188]] [[0.28360393 0.03286862]  [0.03286862 1.72702011]] [[0.82239139 0.24933669]  [0.24933669 0.94724644]] [[0.86714353 0.52537726]  [0.52537726 2.08240938]] [[1.09421276 0.44892315]  [0.44892315 1.21944491]],5,"{0: 248, 1: 304, 2: 182, 3: 102, 4: 364, 5: 0}",4,3,1
1.6e-07,6,300,1000,6,True,0.334302745652711,0.8462726075586908,2,2,[1.79945277 4.13592381] [1.74356662 1.138625  ],[4.53929051e-01 5.46070949e-01 1.33019475e-10 2.12831135e-17 3.40529771e-24 5.44847554e-31],[[1.55656325 0.44253612]  [0.44253612 1.18570766]] [[1.74124697 0.48505721]  [0.48505721 1.57056271]],2,"{0: 552, 1: 648, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,7,300,1000,6,True,0.27258739675489874,0.5104860995936137,4,4,[2.82160838 2.62303017] [2.03970401 4.11932406] [1.05686178 0.7611103 ] [2.25136803 0.78117524],[0.15967533 0.40644614 0.00089236 0.24859654 0.00088615 0.18350348],[[ 0.75998511 -0.6172449 ]  [-0.6172449   1.00600891]] [[1.44313665 0.39238251]  [0.39238251 1.11508393]] [[0.65056246 0.06375965]  [0.06375965 1.57682887]] [[ 0.42201719 -0.20558616]  [-0.20558616  0.58980528]],4,"{0: 166, 1: 524, 2: 0, 3: 284, 4: 0, 5: 226}",1,0,1
1.6e-07,8,300,1000,6,True,0.2544130259710715,0.4501139276343704,5,5,[3.31174779 3.62154203] [1.72321469 2.76430385] [1.70947636 0.57964111] [1.619213  4.6101524] [0.4023315  2.06517385],[1.02035636e-01 2.01135452e-01 3.44668284e-01 2.81111059e-01 7.10495700e-02 1.31097770e-10],[[0.76551139 0.57363633]  [0.57363633 2.57386652]] [[0.5722081  0.09352855]  [0.09352855 0.92837694]] [[1.46383475 0.58539468]  [0.58539468 1.22101695]] [[1.10608736 0.33757378]  [0.33757378 1.03486558]] [[0.64647064 0.08277674]  [0.08277674 0.42023141]],5,"{0: 86, 1: 246, 2: 440, 3: 356, 4: 72, 5: 0}",3,2,0
1.6e-07,9,300,1000,6,True,0.23775322068849103,0.7454719679139272,5,5,[1.68682447 4.10150513] [1.63932545 1.46777118] [4.30159715 2.18428976] [2.68615936 0.87571978] [ 1.3526077  -0.36258127],[0.51515403 0.29583012 0.0114665  0.07356287 0.00087983 0.10310665],[[1.35187073 0.48528321]  [0.48528321 1.53869442]] [[1.37763522 0.62823694]  [0.62823694 0.79030705]] [[2.83445157 0.39358857]  [0.39358857 2.60137166]] [[ 0.28075945 -0.10338894]  [-0.10338894  0.832588  ]] [[0.38751126 0.02323272]  [0.02323272 1.01181862]],5,"{0: 602, 1: 416, 2: 6, 3: 76, 4: 0, 5: 100}",2,0,2
1.6e-07,10,300,1000,6,True,0.24666605796254085,0.49180529604473416,4,4,[2.93534732 3.2621518 ] [1.03881161 1.83087892] [1.63231682 4.13322182] [2.02812628 0.51957521],[2.08122197e-01 1.38955180e-01 3.75623147e-01 2.77299476e-01 1.32516066e-10 2.12025675e-17],[[1.30195629 1.02586287]  [1.02586287 2.68346696]] [[ 0.62340313 -0.0927598 ]  [-0.0927598   0.71052242]] [[0.78422859 0.11436918]  [0.11436918 1.39415981]] [[1.50989974 0.5067687 ]  [0.5067687  0.93714313]],4,"{0: 196, 1: 176, 2: 454, 3: 374, 4: 0, 5: 0}",1,1,0
1.6e-07,11,300,1000,6,True,0.2562774362576696,0.5744320630270272,3,3,[1.60583684 3.35667804] [1.53134693 0.75790072] [2.29258025 4.63352618],[3.42644077e-01 4.50609184e-01 2.06746739e-01 1.32520736e-10 2.12033149e-17 3.39252989e-24],[[ 1.46932683 -0.32218881]  [-0.32218881  0.96872862]] [[1.1564044  0.10030889]  [0.10030889 1.12175718]] [[1.04957112 0.39877174]  [0.39877174 1.29486125]],3,"{0: 458, 1: 544, 2: 198, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,12,300,1000,6,True,0.22106438649869578,0.4180085569761908,5,4,[-0.58080285  1.48007105] [1.34515011 3.94122237] [0.71238165 1.05780611] [2.60759113 3.8301783 ] [2.19779344 0.84910142],[7.94832599e-03 2.86142931e-01 2.12999101e-01 2.45089886e-01 2.47819756e-01 1.32287298e-10],[[2.47107684 1.05229291]  [1.05229291 2.45806997]] [[ 0.90832112 -0.03391218]  [-0.03391218  0.80007311]] [[0.4802206  0.0428196 ]  [0.0428196  1.52886348]] [[1.05335    0.04524271]  [0.04524271 2.72996812]] [[0.74755039 0.03231594]  [0.03231594 0.95895994]],5,"{0: 4, 1: 394, 2: 262, 3: 228, 4: 312, 5: 0}",4,1,3
1.6e-07,13,300,1000,6,True,0.3227458190703702,0.7950723873014818,4,3,[1.45093678 3.89717476] [1.50956182 0.90046672] [2.48578036 2.25617347] [0.63854513 5.89834049],[4.18612873e-01 3.86974446e-01 1.92506652e-01 6.02111723e-04 1.30391670e-03 6.40144586e-11],[[1.6957234  0.81572376]  [0.81572376 1.32313479]] [[1.65806278 0.83982978]  [0.83982978 1.22621057]] [[0.48956753 0.11343866]  [0.11343866 5.46079859]] [[ 0.86639103 -1.3225727 ]  [-1.3225727   6.08321352]],4,"{0: 560, 1: 546, 2: 92, 3: 0, 4: 2, 5: 0}",0,0,0
1.6e-07,14,300,1000,6,True,0.27191411710425145,0.5964594636232001,4,4,[1.70982735 4.05234057] [0.80803599 0.62667131] [2.1239047  1.00279951] [3.03876504 2.75846027],[4.60680808e-01 2.16823960e-01 2.61674508e-01 8.80700983e-04 5.99400225e-02 1.29128032e-10],[[1.16493547 0.36252097]  [0.36252097 1.41134455]] [[0.56187137 0.17040751]  [0.17040751 1.97388959]] [[ 0.85202514 -0.11060284]  [-0.11060284  0.98271779]] [[0.60721003 0.08000571]  [0.08000571 0.41296366]],4,"{0: 586, 1: 242, 2: 312, 3: 0, 4: 60, 5: 0}",1,0,1
1.6e-07,15,300,1000,6,True,0.2602639399631915,0.5922015817362254,4,4,[1.09459492 3.74771966] [3.17656671 2.19065556] [1.47058924 0.88367754] [2.68396848 4.59374099],[8.96946932e-04 2.83765540e-01 6.14495075e-02 4.61368190e-01 1.92519816e-01 1.32218008e-10],[[0.91733507 0.06390866]  [0.06390866 0.82420828]] [[ 0.76121411 -0.26962917]  [-0.26962917  0.61450876]] [[1.33681319 0.14145506]  [0.14145506 1.16679136]] [[ 0.94982341 -0.04577514]  [-0.04577514  1.20067203]],4,"{0: 0, 1: 348, 2: 58, 3: 570, 4: 224, 5: 0}",1,1,0
