Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
1.6e-07,0,350,1000,6,True,0.22881469370459678,0.4380935060242295,5,5,[2.38745198 3.09672504] [2.51872239 1.47632788] [0.74913816 3.00124701] [2.03762386 4.50790206] [0.98905995 0.36528163],[0.16179011 0.20823096 0.14264019 0.0007652  0.28338482 0.20318872],[[2.33042338 1.4552212 ]  [1.4552212  3.36022475]] [[ 0.81121946 -0.20526879]  [-0.20526879  1.11676364]] [[ 0.6853895  -0.11108247]  [-0.11108247  0.59639862]] [[ 0.88033293 -0.06126539]  [-0.06126539  1.04023112]] [[0.74732743 0.12208308]  [0.12208308 0.83371453]],5,"{0: 70, 1: 334, 2: 224, 3: 0, 4: 460, 5: 312}",1,1,0
1.6e-07,1,350,1000,6,False,0.2894375105657035,0.6707055823031501,3,3,[0.758451  2.4863604] [2.0015935  1.41316628] [1.98687879 4.43071461],[0.11715127 0.00076784 0.00076716 0.53116932 0.00076478 0.34937962],[[0.49755031 0.65745976]  [0.65745976 4.64090584]] [[1.19787669 0.42148285]  [0.42148285 1.746898  ]] [[1.26518473 0.4187083 ]  [0.4187083  0.99529473]],3,"{0: 42, 1: 0, 2: 0, 3: 792, 4: 0, 5: 566}",0,0,0
1.6e-07,2,350,1000,6,True,0.2493133063619578,0.49900648024596755,5,5,[2.13575846 3.96506402] [2.70103527 1.15968486] [1.10452482 0.1807805 ] [1.27848698 2.2270598 ] [-0.03860409  2.58294675],[0.45320031 0.16831813 0.20209583 0.13034419 0.00074965 0.04529188],[[1.33754579 0.1528852 ]  [0.1528852  1.39934178]] [[0.95383652 0.13349469]  [0.13349469 0.58115282]] [[1.29560013 0.24012418]  [0.24012418 0.91834069]] [[ 0.21567428 -0.09056499]  [-0.09056499  2.51378469]] [[ 0.64259689 -0.18538796]  [-0.18538796  0.45127307]],5,"{0: 680, 1: 240, 2: 304, 3: 110, 4: 0, 5: 66}",2,0,1
1.6e-07,3,350,1000,6,True,0.27623770093926897,0.600278531052992,4,4,[1.77806062 4.22818785] [2.30053144 1.53854105] [1.25148589 0.90229921] [1.00598177e-03 2.37865805e+00],[4.09798559e-01 2.76104486e-01 7.65653549e-04 2.27233221e-01 8.60980797e-02 1.12621772e-10],[[1.26930255 0.49990939]  [0.49990939 1.2452889 ]] [[1.51088167 0.4306693 ]  [0.4306693  1.77900217]] [[0.75656095 0.38176312]  [0.38176312 1.32085178]] [[0.29739247 0.13620319]  [0.13620319 3.69623838]],4,"{0: 628, 1: 292, 2: 0, 3: 390, 4: 90, 5: 0}",2,0,2
1.6e-07,4,350,1000,6,True,0.24717810798746015,0.5731530534770863,5,5,[1.9075903  4.21174522] [2.33144113 1.6401859 ] [1.17964054 0.5052052 ] [0.44102067 2.76997087] [4.29599354 3.88559464],[4.07432819e-01 1.61962799e-01 3.14936460e-01 7.27013733e-02 4.29665485e-02 1.11348542e-10],[[0.84991839 0.25318708]  [0.25318708 1.25712926]] [[ 0.48590342 -0.00357751]  [-0.00357751  0.57976368]] [[1.19807494 0.19390285]  [0.19390285 1.37531612]] [[ 1.07911614 -0.2946009 ]  [-0.2946009   0.78897848]] [[0.81417753 0.01580146]  [0.01580146 3.53200015]],5,"{0: 604, 1: 252, 2: 428, 3: 60, 4: 56, 5: 0}",1,1,0
1.6e-07,5,350,1000,6,True,0.2325301934136456,0.6595636747249238,4,4,[1.75361374 0.87855697] [0.83211966 3.74095658] [2.6648334  3.87650898] [2.06112588 4.04690776],[4.64057796e-01 2.08467855e-01 1.96028126e-01 1.31446223e-01 1.13192004e-10 1.81107180e-17],[[1.39962332 0.34347319]  [0.34347319 1.37235111]] [[0.72144176 0.20868242]  [0.20868242 1.52690261]] [[1.01684194 0.55339781]  [0.55339781 1.90522505]] [[0.19474586 0.01254298]  [0.01254298 1.61778217]],4,"{0: 716, 1: 276, 2: 186, 3: 222, 4: 0, 5: 0}",2,2,0
1.6e-07,6,350,1000,6,True,0.2427949442538573,0.44190692367956597,6,6,[2.61228122 1.86315885] [2.9066696  3.49098036] [0.39096864 0.2337288 ] [1.49263318 2.17902894] [1.58300511 4.35667019] [1.28542661 0.46665193],[0.19250904 0.09264193 0.05040904 0.15275108 0.31550884 0.19618007],[[ 0.98710046 -0.07473734]  [-0.07473734  0.66342425]] [[1.05581836 0.6454362 ]  [0.6454362  0.88922358]] [[1.19610149 0.88190253]  [0.88190253 1.80275937]] [[ 0.2191981  -0.07332685]  [-0.07332685  3.40740388]] [[1.40892588 0.64381922]  [0.64381922 1.02253566]] [[ 1.38622746 -0.31405341]  [-0.31405341  0.70039976]],6,"{0: 262, 1: 92, 2: 24, 3: 158, 4: 508, 5: 356}",3,1,2
1.6e-07,7,350,1000,6,True,0.23881555285961706,0.37747714458414244,5,5,[2.07881173 0.70215289] [2.45674482 4.39771908] [1.32065813 1.9845247 ] [0.81060468 1.11906636] [2.15106663 3.44618929],[2.74521652e-01 2.69286163e-01 1.61720079e-01 1.18756226e-01 1.75715880e-01 1.13181581e-10],[[1.24023391 0.53230835]  [0.53230835 0.97441207]] [[1.1608121  0.24645414]  [0.24645414 0.99571613]] [[ 0.74893858 -0.84421538]  [-0.84421538  1.61638095]] [[ 1.12370938 -0.32445629]  [-0.32445629  1.90162298]] [[ 0.74523617 -0.61472614]  [-0.61472614  0.99592591]],5,"{0: 500, 1: 318, 2: 224, 3: 68, 4: 290, 5: 0}",1,0,1
1.6e-07,8,350,1000,6,True,0.2736485969143135,0.5342979597881232,3,3,[1.48699778 2.41700532] [1.77307971 0.60274302] [1.90060342 4.47290806],[2.43927007e-01 3.57547928e-01 3.98525065e-01 1.13892619e-10 1.82228166e-17 2.91565022e-24],[[1.38273051 0.3060082 ]  [0.3060082  0.540363  ]] [[1.57152053 0.62852322]  [0.62852322 1.18414913]] [[1.42626359 0.315874  ]  [0.315874   1.15810129]],3,"{0: 378, 1: 484, 2: 538, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,9,350,1000,6,True,0.22596965467335223,0.5606354519501517,5,5,[4.34179135 2.15182491] [2.57219767 1.15702592] [1.71706548 3.97959483] [1.20028153 0.15426963] [1.76564206 1.664492  ],[0.00892662 0.11510714 0.53145738 0.20224011 0.00076135 0.14150739],[[2.93642573 0.37941704]  [0.37941704 2.63801537]] [[ 0.32032457 -0.12496226]  [-0.12496226  0.79377957]] [[1.31174772 0.43040896]  [0.43040896 1.63990408]] [[0.5659473  0.00464468]  [0.00464468 1.21414913]] [[1.6211117  0.64868864]  [0.64868864 0.62999746]],5,"{0: 6, 1: 160, 2: 748, 3: 272, 4: 0, 5: 214}",3,0,1
