Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
1.6e-07,0,400,3000,6,True,0.42917747560149694,0.7713246389532857,4,4,[1.03688808 5.02339099] [-0.61124374  0.45916135] [ 0.68620934 -0.03197942] [1.86959969 0.12719233],[0.49848864 0.0134086  0.32403625 0.00066538 0.00066181 0.16273932],[[0.75499337 0.01024512]  [0.01024512 0.73109028]] [[0.93347413 0.5928195 ]  [0.5928195  1.48123571]] [[ 0.38411768 -0.02593164]  [-0.02593164  0.85052696]] [[ 0.29873715 -0.04224513]  [-0.04224513  0.62013395]],4,"{0: 798, 1: 10, 2: 532, 3: 0, 4: 0, 5: 260}",3,0,3
1.6e-07,1,400,3000,6,True,0.4970023357081091,0.9900249504380481,3,3,[ 1.01694032 -0.01603011] [1.01248923 4.9825729 ] [-0.92025612  2.46704158],[4.96029506e-01 4.95768113e-01 6.18748746e-04 7.58363141e-03 8.61714592e-11 1.37874315e-17],[[ 0.66779227 -0.0267559 ]  [-0.0267559   0.73599489]] [[ 0.66975188 -0.03755238]  [-0.03755238  0.74459367]] [[0.85645273 0.53857313]  [0.53857313 6.98953648]],3,"{0: 796, 1: 796, 2: 0, 3: 8, 4: 0, 5: 0}",0,0,0
1.6e-07,2,400,3000,6,True,0.4913714109618824,0.982563962205008,3,3,[1.12111056 4.89273527] [0.51713454 4.342946  ] [ 1.1040016  -0.10949866],[6.69602980e-04 4.85277039e-01 6.68264237e-04 2.24962575e-02 4.90888837e-01 9.95067447e-11],[[0.76055012 0.04334692]  [0.04334692 0.76159861]] [[ 0.12696598 -0.07598762]  [-0.07598762  3.80649825]] [[0.75328099 0.0469664 ]  [0.0469664  0.71752909]],3,"{0: 0, 1: 798, 2: 0, 3: 10, 4: 792, 5: 0}",0,0,0
1.6e-07,3,400,3000,6,True,0.4920500894674426,0.9950031250195435,2,2,[1.09772022 5.07072342] [1.09151125 0.07418033],[6.74924861e-04 4.98858985e-01 5.00466090e-01 9.97506855e-11 1.59601076e-17 2.55361684e-24],[[0.75093345 0.0168188 ]  [0.0168188  0.73174335]] [[0.76853979 0.02328383]  [0.02328383 0.75716518]],2,"{0: 0, 1: 798, 2: 802, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,4,400,3000,6,True,0.41979175325999096,0.7307246109342405,4,4,[ 1.83784181 -0.0806226 ] [-0.42700338  0.25066527] [0.68359456 0.11073865] [1.09438284 5.02396701],[0.21132007 0.00067306 0.03448555 0.25930088 0.00067009 0.49355034],[[0.38757763 0.04160569]  [0.04160569 0.93927253]] [[0.58924662 0.20564696]  [0.20564696 1.74804094]] [[ 0.31047878 -0.01357147]  [-0.01357147  0.55372686]] [[ 0.82953683 -0.04682378]  [-0.04682378  0.68369918]],4,"{0: 326, 1: 0, 2: 32, 3: 448, 4: 0, 5: 794}",3,0,3
1.6e-07,5,400,3000,6,True,0.49453833333333336,1.0,2,2,[1.10246995 4.97272295] [ 1.10565735 -0.02027108],[6.71192798e-04 5.00480355e-01 4.98848452e-01 9.97502827e-11 1.59600431e-17 2.55360653e-24],[[ 0.69303276 -0.02875071]  [-0.02875071  0.78812098]] [[ 0.69276608 -0.02849308]  [-0.02849308  0.7769368 ]],2,"{0: 0, 1: 800, 2: 800, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,6,400,3000,6,True,0.4945321577424358,0.9950031250969357,2,2,[1.10404575 0.00873219] [1.09655321 5.00278262],[0.00067011 0.00066797 0.00066752 0.50189207 0.00066616 0.49543618],[[0.70996991 0.03398767]  [0.03398767 0.80048935]] [[0.70474265 0.03414725]  [0.03414725 0.74251552]],2,"{0: 0, 1: 0, 2: 0, 3: 804, 4: 0, 5: 796}",0,0,0
1.6e-07,7,400,3000,6,True,0.49953051643192486,1.0,2,2,[1.05429916 4.85841416] [ 1.05686526 -0.13419357],[4.99967698e-01 6.72175016e-04 6.69743784e-04 6.68830195e-04 4.98021553e-01 9.94396658e-11],[[0.6565921  0.03350602]  [0.03350602 0.69015268]] [[0.65821715 0.03406047]  [0.03406047 0.69624899]],2,"{0: 800, 1: 0, 2: 0, 3: 0, 4: 800, 5: 0}",0,0,0
1.6e-07,8,400,3000,6,True,0.40019013606315956,0.6718845377190654,4,4,[1.47678648 0.08047003] [ 0.8043652  -0.00689801] [0.8771862  5.15689078] [1.88274762 4.45181744],[0.00067267 0.20304996 0.00067163 0.29767833 0.39697999 0.10094742],[[ 0.80184648 -0.11978869]  [-0.11978869  0.62870702]] [[ 6.17044449e-01 -4.21648693e-04]  [-4.21648693e-04  9.52478494e-01]] [[0.62689358 0.03528772]  [0.03528772 0.76436417]] [[0.64580533 0.25706949]  [0.25706949 0.59021371]],4,"{0: 0, 1: 206, 2: 0, 3: 596, 4: 672, 5: 126}",1,1,0
1.6e-07,9,400,3000,6,True,0.45177695648168276,0.8357681938930401,5,5,[1.99018466 4.82836928] [1.01999792 0.0246849 ] [0.89635359 5.06727228] [1.97951726 0.19772742] [-0.529372    0.72083742],[0.09640394 0.44933963 0.00066539 0.4013007  0.0419608  0.01032952],[[ 0.20888944 -0.08272216]  [-0.08272216  1.41202059]] [[ 0.60698299 -0.12788162]  [-0.12788162  0.72569366]] [[ 0.54080843 -0.09172834]  [-0.09172834  0.68585927]] [[ 0.17138784 -0.24342161]  [-0.24342161  1.49912312]] [[0.58191484 0.35923078]  [0.35923078 5.13763984]],5,"{0: 134, 1: 784, 2: 0, 3: 662, 4: 12, 5: 8}",4,1,3
1.6e-07,10,400,3000,6,True,0.49263153804025384,0.9728638190555026,4,4,[ 1.02038491 -0.03941201] [-0.64567484  0.59478948] [1.03171683 4.98715387] [-0.56647823  4.07381831],[4.87445448e-01 6.71309118e-04 1.27105933e-02 4.83711936e-01 1.54607136e-02 9.57173538e-11],[[0.60845339 0.00773252]  [0.00773252 0.79405354]] [[0.94833906 0.71169021]  [0.71169021 1.57799742]] [[ 0.59431057 -0.01908162]  [-0.01908162  0.79538361]] [[ 0.91400365 -0.76278706]  [-0.76278706  1.39812798]],4,"{0: 790, 1: 0, 2: 10, 3: 788, 4: 12, 5: 0}",2,1,1
1.6e-07,11,400,3000,6,True,0.4945321577424358,1.0,2,2,[ 1.13316362 -0.03497836] [1.13706169 4.95995127],[4.97488291e-01 5.02511709e-01 9.98134629e-11 1.59701522e-17 2.55522401e-24 4.08835782e-31],[[ 0.69119701 -0.05811913]  [-0.05811913  0.76066284]] [[ 0.6865798  -0.05703294]  [-0.05703294  0.82481482]],2,"{0: 796, 1: 804, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,12,400,3000,6,True,0.49953051643192486,1.0,2,2,[1.02110876 5.03523433] [1.09012152 0.02988067],[0.0006678  0.39022069 0.11131626 0.00066571 0.0006648  0.49646473],[[ 0.74774102 -0.05401882]  [-0.05401882  0.84684031]] [[ 0.64535724 -0.02534234]  [-0.02534234  0.8240668 ]],3,"{0: 0, 1: 800, 2: 0, 3: 0, 4: 0, 5: 800}",0,0,0
1.6e-07,13,400,3000,6,True,0.46084222529000274,0.8660928026294761,4,4,[1.20538517 3.99437377] [ 0.94046051 -0.44494883] [1.18842287 5.06761058] [1.19584829 0.06285017],[7.61866796e-02 9.46745232e-02 4.35695259e-01 3.93443538e-01 9.96369222e-11 1.59419052e-17],[[ 0.90470328 -1.13795774]  [-1.13795774  2.96050685]] [[ 0.77490014 -0.66781836]  [-0.66781836  1.49883921]] [[0.78792658 0.09961558]  [0.09961558 0.55215851]] [[0.77191655 0.09671319]  [0.09671319 0.49383092]],4,"{0: 52, 1: 62, 2: 754, 3: 732, 4: 0, 5: 0}",0,0,0
1.6e-07,14,400,3000,6,True,0.49702974522368576,1.0,2,2,[1.11361104 4.98516025] [ 1.1091659  -0.00693155],[4.99039318e-01 5.00960682e-01 9.98130793e-11 1.59700908e-17 2.55521419e-24 4.08834211e-31],[[ 0.72073053 -0.04869885]  [-0.04869885  0.74539123]] [[ 0.72518041 -0.04822812]  [-0.04822812  0.77325643]],2,"{0: 798, 1: 802, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,15,400,3000,6,True,0.4836078460633413,0.9481283955818536,3,3,[1.13751299 0.02141515] [0.07594635 4.84523673] [1.2612263  5.03007805],[0.5007651  0.00066403 0.00066314 0.05210102 0.00066125 0.44514545],[[0.66705043 0.04877338]  [0.04877338 0.76883621]] [[ 0.23804635 -0.10607444]  [-0.10607444  1.06024391]] [[0.5722284  0.04479538]  [0.04479538 0.73512463]],3,"{0: 802, 1: 0, 2: 0, 3: 44, 4: 0, 5: 754}",1,1,0
1.6e-07,16,400,3000,6,True,0.4920500894674426,1.0,2,2,[1.10190083 4.94758586] [ 1.09496607 -0.04757433],[4.99903540e-01 5.00096460e-01 9.98128645e-11 1.59700564e-17 2.55520869e-24 4.08833331e-31],[[0.71277519 0.01530342]  [0.01530342 0.69036915]] [[0.71126496 0.01473586]  [0.01473586 0.69892109]],2,"{0: 798, 1: 802, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,17,400,3000,6,True,0.49702974522368576,1.0,2,2,[1.03957371 0.018721  ] [1.03700094 5.01072826],[6.73374263e-04 6.74269400e-04 4.99100314e-01 4.99552042e-01 9.96882233e-11 1.59501134e-17],[[0.72689113 0.01620584]  [0.01620584 0.73785888]] [[0.72892619 0.0160303 ]  [0.0160303  0.74964463]],2,"{0: 0, 1: 0, 2: 798, 3: 802, 4: 0, 5: 0}",0,0,0
1.6e-07,18,400,3000,6,True,0.42645706674105155,0.7487980455324881,5,5,[0.70377551 1.4043007 ] [1.0642468  5.09054798] [ 1.09692933 -0.08660441] [2.33910928 4.74369314] [0.00573305 4.56470127],[5.26733182e-02 3.40396202e-01 4.60418293e-01 7.49971068e-02 7.15150805e-02 9.84911215e-11],[[0.056098   0.02902265]  [0.02902265 4.36234334]] [[ 0.37956865 -0.09064005]  [-0.09064005  0.69961638]] [[ 0.78243685 -0.01624022]  [-0.01624022  0.69018233]] [[0.29040126 0.12679505]  [0.12679505 1.59182819]] [[ 0.36425041 -0.13647651]  [-0.13647651  0.48066738]],5,"{0: 44, 1: 590, 2: 770, 3: 106, 4: 90, 5: 0}",3,3,0
1.6e-07,19,400,3000,6,True,0.49953051643192486,1.0,2,2,[1.02593634 0.00751271] [1.02699733 5.00054516],[6.71134523e-04 4.99666145e-01 4.99662720e-01 9.97504859e-11 1.59600756e-17 2.55361173e-24],[[0.72634668 0.02257808]  [0.02257808 0.69221722]] [[0.72504026 0.02257207]  [0.02257207 0.69916474]],2,"{0: 0, 1: 800, 2: 800, 3: 0, 4: 0, 5: 0}",0,0,0
0.16666666666666666,0,400,3000,6,True,0.42917747560149694,0.7713246389532857,4,4,[1.03688823 5.0233913 ] [-0.61112483  0.45899063] [ 0.68609775 -0.03201082] [1.86946263 0.12718413],[0.49848788 0.01341771 0.32396864 0.00066543 0.00066182 0.16279853],[[0.75499345 0.01024473]  [0.01024473 0.73108942]] [[0.9331904  0.59257324]  [0.59257324 1.48075234]] [[ 0.38399033 -0.02594898]  [-0.02594898  0.8505672 ]] [[ 0.29877303 -0.04224226]  [-0.04224226  0.62013283]],4,"{0: 798, 1: 10, 2: 532, 3: 0, 4: 0, 5: 260}",3,0,3
0.16666666666666666,1,400,3000,6,True,0.4970023357081091,0.9900249504380481,3,3,[ 1.01700982 -0.01604203] [1.0125962  4.98257857] [-0.91835234  2.47154678],[4.95958900e-01 4.95683365e-01 6.19591898e-04 7.64991993e-03 7.71960211e-05 1.10266744e-05],[[ 0.66767916 -0.02674943]  [-0.02674943  0.73594531]] [[ 0.66959057 -0.03755531]  [-0.03755531  0.74444624]] [[0.85533548 0.53817008]  [0.53817008 6.99543526]],3,"{0: 796, 1: 796, 2: 0, 3: 8, 4: 0, 5: 0}",0,0,0
