Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
1000,0,250,3000,6,True,0.41976532826439816,0.7356678755538572,4,4,[-0.6472644   0.40631984] [ 0.58817889 -0.00772469] [0.99557573 5.07108284] [1.69753093 0.17507705],[0.02061882 0.00106578 0.27350006 0.4944935  0.20926036 0.00106148],[[0.91915733 0.54728443]  [0.54728443 1.44654031]] [[ 0.29482633 -0.05996758]  [-0.05996758  0.93538032]] [[0.76085845 0.01675429]  [0.01675429 0.73818233]] [[ 0.3598066  -0.00975517]  [-0.00975517  0.68546251]],6,"{0: 14, 1: 0, 2: 290, 3: 496, 4: 200, 5: 0}",3,0,3
1000,1,250,3000,6,True,0.4951758937389887,0.9840637999661727,3,3,[1.06709082 4.98172182] [-0.35135592  3.9257382 ] [ 1.05794702 -0.01762293],[0.49118021 0.00106692 0.00106615 0.0010669  0.01333383 0.49228598],[[ 0.61183165 -0.06758737]  [-0.06758737  0.58778505]] [[ 0.68033108 -0.31458011]  [-0.31458011  5.48637078]] [[ 0.62999133 -0.05379272]  [-0.05379272  0.58214606]],6,"{0: 496, 1: 0, 2: 0, 3: 0, 4: 8, 5: 496}",0,0,0
1000,2,250,3000,6,True,0.4191708615674196,0.7368864848130126,3,3,[0.51610491 4.9395313 ] [1.58600654 4.79887316] [ 1.1108867 -0.1212656],[0.23130315 0.00107619 0.2741113  0.00107405 0.49136323 0.00107208],[[0.40075452 0.11966434]  [0.11966434 1.27932192]] [[0.49688979 0.0717986 ]  [0.0717986  0.57975856]] [[0.74619078 0.05838629]  [0.05838629 0.74785055]],6,"{0: 240, 1: 0, 2: 266, 3: 0, 4: 494, 5: 0}",1,1,0
1000,3,250,3000,6,True,0.49126813834586464,0.9920080001281283,2,2,[1.11238701 5.07486172] [1.11685439 0.08195643],[0.00108352 0.00108292 0.49878018 0.00108152 0.00108311 0.49688875],[[0.79635349 0.00954401]  [0.00954401 0.72208524]] [[0.80183304 0.01298297]  [0.01298297 0.71198359]],6,"{0: 0, 1: 0, 2: 500, 3: 0, 4: 0, 5: 500}",0,0,0
1000,4,250,3000,6,True,0.4464995287167879,0.8100297578019683,4,4,[0.90207649 5.05653156] [ 1.12663713 -0.01734364] [-0.57678846  3.85527248] [2.22076049 4.8339878 ],[0.36903172 0.49522533 0.00105773 0.02462998 0.00105459 0.10900066],[[ 0.42279285 -0.06936271]  [-0.06936271  0.6157396 ]] [[ 0.83411812 -0.01434902]  [-0.01434902  0.7022684 ]] [[ 0.59445462 -0.55185426]  [-0.55185426  2.15046779]] [[0.30006279 0.14164871]  [0.14164871 0.90822413]],6,"{0: 380, 1: 500, 2: 0, 3: 18, 4: 0, 5: 102}",2,2,0
1000,5,250,3000,6,True,0.4992481203007519,1.0,2,2,[1.10308715 0.00484237] [1.10171198 4.99403093],[0.49796492 0.49780193 0.00105979 0.0010595  0.0010575  0.00105636],[[ 0.65871324 -0.03264315]  [-0.03264315  0.7443647 ]] [[ 0.65954302 -0.03258631]  [-0.03258631  0.74624005]],6,"{0: 500, 1: 500, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
1000,6,250,3000,6,True,0.4992481203007519,1.0,2,2,[1.09108842 0.02215424] [1.09094629 5.01090991],[0.49869906 0.49705981 0.00106124 0.00106009 0.001062   0.0010578 ],[[0.78314994 0.09443764]  [0.09443764 0.81092633]] [[0.78544766 0.09498411]  [0.09498411 0.7966572 ]],6,"{0: 500, 1: 500, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
1000,7,250,3000,6,True,0.30225138877536795,0.4369916284871124,5,5,[0.49272468 4.84318616] [1.08529494 4.77963252] [1.93887305 4.84751541] [ 0.6487114  -0.11171614] [ 1.34285423 -0.17196899],[0.24174765 0.00105704 0.12210473 0.13671275 0.22233601 0.27604181],[[0.45218622 0.04434432]  [0.04434432 0.63925191]] [[ 0.05848364 -0.01730169]  [-0.01730169  0.76940091]] [[ 0.24761783 -0.01106008]  [-0.01106008  0.81087733]] [[0.57626087 0.08798103]  [0.08798103 0.67348631]] [[ 0.52459054 -0.02521268]  [-0.02521268  0.70867732]],6,"{0: 192, 1: 0, 2: 168, 3: 140, 4: 182, 5: 318}",2,2,0
1000,8,250,3000,6,True,0.4992481203007519,1.0,2,2,[1.08574781 0.04238439] [1.08728951 5.03023153],[0.00106825 0.00107044 0.49781647 0.4979157  0.00106515 0.00106399],[[ 0.76836596 -0.05635724]  [-0.05635724  0.79754026]] [[ 0.76784672 -0.05617278]  [-0.05617278  0.80228119]],6,"{0: 0, 1: 0, 2: 500, 3: 500, 4: 0, 5: 0}",0,0,0
1000,9,250,3000,6,True,0.382849451535903,0.6386646982379867,5,4,[0.7816875  5.14706376] [1.97540075 4.78029502] [1.95505859 0.06881207] [-0.15250774 -0.22276793] [0.76393468 0.11311034],[0.38413715 0.0010622  0.11457572 0.10988479 0.0060545  0.38428564],[[ 0.53605161 -0.05211787]  [-0.05211787  0.6718147 ]] [[ 0.2144371  -0.0491225 ]  [-0.0491225   1.51394631]] [[ 0.19112322 -0.15351522]  [-0.15351522  1.17136923]] [[0.86540437 1.38680948]  [1.38680948 5.23331019]] [[ 0.54582081 -0.12329623]  [-0.12329623  0.77793992]],6,"{0: 386, 1: 0, 2: 112, 3: 114, 4: 2, 5: 386}",4,1,3
