NumSamples,Mean ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev,MaxIters,Num seeds,MaxCats,Concentration
50,0.7772482371625383,0.06816526352141145,1.0,4.0,0.0,1000,10,6,0.16666666666666666
100,0.7974396240208038,0.04151299070873182,1.0,4.1,0.3,1000,10,6,0.16666666666666666
150,0.7899660138996852,0.03483371097340848,1.0,4.1,0.3,1000,10,6,0.16666666666666666
200,0.7896396928279084,0.044012706854103426,1.0,4.1,0.3,1000,10,6,0.16666666666666666
250,0.7920300463421877,0.03941438906362059,1.0,4.1,0.3,1000,10,6,0.16666666666666666
300,0.8023436769962953,0.030971598384663325,1.0,4.0,0.0,1000,10,6,0.16666666666666666
350,0.7846526711169651,0.04569058804566237,1.0,4.4,0.4898979485566356,1000,10,6,0.16666666666666666
400,0.7989849982029908,0.024456367830584802,1.0,4.0,0.0,1000,10,6,0.16666666666666666
450,0.8032405577832374,0.02059644497279219,1.0,4.2,0.39999999999999997,1000,10,6,0.16666666666666666
