Concentration,Mean ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev,MaxIters,Num seeds,Samples,MaxCats
1.6e-07,0.4202362943946433,0.11634613955988633,1.0,2.55,0.8645808232895291,1000,20,250,6
0.16666666666666666,0.4205442123067993,0.11510663562792564,1.0,2.55,0.8645808232895291,1000,20,250,6
1,0.4041922736162317,0.11819181725828706,1.0,2.85,0.9630680142129111,1000,20,250,6
10,0.4083243517503665,0.12180613952418388,1.0,2.95,1.023474474522936,1000,20,250,6
100,0.37374325241233475,0.11820978189499906,1.0,3.5,1.3228756555322954,1000,20,250,6
