Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,NumCats,Means,Weights,NumLargeWeights
5.953741807651273e-07,3,250,1000,6,True,0.4139447362779713,3,[ 0.53639506 -0.61537386] [0.0983712  0.04464976] [-0.53410122 -0.67110915],[2.33332610e-01 4.72331108e-01 2.94336281e-01 1.17732191e-09 7.00946654e-16 4.17325293e-22],3
5.953741807651273e-07,4,250,1000,6,True,0.4613870017145513,2,[ 0.0098245  -0.61022703] [0.03508641 0.08094196],[6.32618622e-01 2.13763331e-03 3.65243744e-01 1.17555975e-09 6.99897512e-16 4.16700661e-22],3
5.953741807651273e-07,5,250,1000,6,True,0.39328347702055405,2,[ 0.01652932 -0.10867749] [-0.02470579 -0.80030896],[6.52309558e-01 3.47690441e-01 1.18158771e-09 7.03486406e-16 4.18837396e-22 2.49364824e-28],2
5.953741807651273e-07,6,250,1000,6,True,0.18897313574439462,2,[ 0.00251505 -0.48510283] [-0.04865171  0.19485284],[7.95534976e-01 2.12793036e-03 2.10383101e-03 2.00233262e-01 1.15421170e-09 6.87187439e-16],4
5.953741807651273e-07,7,250,1000,6,True,0.35816392355484294,4,[-0.0053988  -0.61697832] [-0.10619923 -0.01841916] [-0.66177902 -0.74556255] [ 0.83319636 -0.64482234],[0.19389331 0.00214076 0.40921053 0.23118259 0.00209564 0.16147718],6
5.953741807651273e-07,8,250,1000,6,True,0.439808145588117,2,[-0.02519407 -0.05507243] [ 0.00727711 -0.74826268],[5.95324076e-01 2.14177435e-03 4.02534148e-01 1.17673191e-09 7.00595383e-16 4.17116155e-22],3
5.953741807651273e-07,9,250,1000,6,True,0.18112780681304316,4,[-0.01884492  0.10883598] [-0.8111291  -0.22087891] [ 0.61827266 -0.52829935] [-0.29939077 -0.66868694],[2.39824408e-01 2.54751669e-01 3.31773745e-01 1.73650178e-01 1.16727899e-09 6.94967359e-16],4
5.953741807651273e-07,10,250,1000,6,True,0.4398050500848723,2,[-0.18956136 -0.6428391 ] [-0.06942556  0.03007836],[5.88253808e-01 4.11746191e-01 1.18263789e-09 7.04111656e-16 4.19209654e-22 2.49586457e-28],2
5.953741807651273e-07,11,250,1000,6,True,0.5348973141227181,2,[ 0.06162412 -0.03560549] [ 0.00943336 -0.72611973],[5.51739905e-01 4.48260094e-01 1.18310282e-09 7.04388460e-16 4.19374456e-22 2.49684575e-28],2
5.953741807651273e-07,12,250,1000,6,True,0.4613321811870046,2,[0.07560497 0.0344093 ] [-0.06736907 -0.64781592],[4.51836269e-01 5.48163730e-01 1.18405946e-09 7.04958017e-16 4.19713555e-22 2.49886466e-28],2
5.953741807651273e-07,13,250,1000,6,True,0.4722002242025456,3,[ 0.01413341 -0.04221925] [ 0.04889525 -0.72956322] [ 0.45067351 -1.14532157],[5.76097401e-01 3.72931259e-01 5.09713388e-02 1.13843019e-09 6.77791545e-16 4.03539347e-22],3
5.953741807651273e-07,14,250,1000,6,True,0.5174530242853181,2,[ 0.09568073 -0.6269674 ] [0.02230354 0.06054074],[5.75451754e-01 2.14329057e-03 4.22404955e-01 1.17727297e-09 7.00917519e-16 4.17307947e-22],3
5.953741807651273e-07,15,250,1000,6,True,0.43984248178313334,2,[ 0.05132196 -0.07112534] [ 0.00848563 -0.76346452],[6.24972432e-01 2.13332283e-03 3.72894244e-01 1.17581901e-09 7.00051865e-16 4.16792559e-22],3
5.953741807651273e-07,16,250,1000,6,True,0.494640589496604,2,[-0.03022589 -0.07123817] [-0.0873845  -0.76285275],[5.95098214e-01 2.13992557e-03 4.02761859e-01 1.17673838e-09 7.00599236e-16 4.17118450e-22],3
5.953741807651273e-07,17,250,1000,6,True,0.5232205454386973,2,[-0.08720515 -0.69327826] [-0.09973445  0.01591526],[5.02086140e-01 4.97913859e-01 1.18362608e-09 7.04699994e-16 4.19559935e-22 2.49795005e-28],2
5.953741807651273e-07,18,250,1000,6,True,0.1539854874992086,5,[-0.35512743 -0.0788276 ] [ 0.75076084 -0.30636429] [-0.20319626 -0.82251959] [-0.8850181  -0.73418225] [ 0.52586458 -0.81553252],[4.02403098e-01 2.91971837e-01 1.21431076e-01 9.39072316e-02 9.02867565e-02 1.13957999e-09],5
5.953741807651273e-07,19,250,1000,6,True,0.5059875126240414,2,[-0.06094783 -0.0625865 ] [-0.02480294 -0.74655817],[5.95691126e-01 2.13402221e-03 4.02174851e-01 1.17672153e-09 7.00589203e-16 4.17112476e-22],3
3.5722450845907635e-06,0,250,1000,6,True,0.44519201712562645,2,[-0.13329197 -0.57107057] [-0.01866706  0.09042176],[6.36145356e-01 3.63854637e-01 7.09130324e-09 2.53317827e-14 9.04910131e-20 3.23254922e-25],2
3.5722450845907635e-06,1,250,1000,6,True,0.5920973456470804,3,[-0.04657127 -0.67196356] [-0.73738708  0.24174344] [-0.0459483  0.0345949],[5.50871740e-01 5.77008415e-03 2.13152396e-03 2.12109037e-03 4.39105555e-01 7.00402255e-09],5
3.5722450845907635e-06,2,250,1000,6,True,0.3873838876825418,3,[-0.31157479 -0.04819661] [ 0.1062835  -0.72939599] [ 0.58782543 -0.04222256],[3.85966558e-01 4.95893467e-01 2.10122388e-03 2.06324451e-03 1.13975500e-01 6.75938594e-09],5
3.5722450845907635e-06,3,250,1000,6,True,0.4139447362779713,3,[ 0.53639506 -0.61537386] [0.0983712  0.04464976] [-0.53410122 -0.67110915],[2.33332610e-01 4.72331108e-01 2.94336275e-01 7.06391031e-09 2.52339288e-14 9.01414560e-20],3
3.5722450845907635e-06,4,250,1000,6,True,0.4613870017145513,2,[ 0.0098245  -0.61022702] [0.03508641 0.08094197],[6.32618631e-01 2.13763329e-03 3.65243729e-01 7.05333740e-09 2.51961599e-14 9.00065368e-20],3
3.5722450845907635e-06,5,250,1000,6,True,0.39328347702055405,2,[ 0.01652932 -0.10867749] [-0.02470579 -0.80030896],[6.52309553e-01 3.47690440e-01 7.08950505e-09 2.53253591e-14 9.04680666e-20 3.23172952e-25],2
3.5722450845907635e-06,6,250,1000,6,True,0.18897313574439462,2,[ 0.00251513 -0.48510299] [-0.04865192  0.19485262],[7.95534720e-01 2.12792933e-03 2.10383105e-03 2.00233513e-01 6.92524976e-09 2.47386011e-14],4
3.5722450845907635e-06,7,250,1000,6,True,0.35816392355484294,4,[-0.0053988  -0.61697831] [-0.10619923 -0.01841916] [-0.66177902 -0.74556254] [ 0.83319635 -0.64482234],[0.19389331 0.00214076 0.40921052 0.23118258 0.00209564 0.16147718],6
3.5722450845907635e-06,8,250,1000,6,True,0.439808145588117,2,[-0.02519407 -0.05507243] [ 0.00727711 -0.74826268],[5.95324070e-01 2.14177430e-03 4.02534149e-01 7.06037031e-09 2.52212831e-14 9.00962827e-20],3
3.5722450845907635e-06,9,250,1000,6,True,0.18112780681304316,4,[-0.01884492  0.10883598] [-0.8111291  -0.22087891] [ 0.61827266 -0.52829935] [-0.29939077 -0.66868694],[2.39824405e-01 2.54751668e-01 3.31773742e-01 1.73650178e-01 7.00365299e-09 2.50186756e-14],4
3.5722450845907635e-06,10,250,1000,6,True,0.4398050500848723,2,[-0.18956136 -0.6428391 ] [-0.06942557  0.03007836],[5.88253801e-01 4.11746192e-01 7.09580611e-09 2.53478680e-14 9.05484735e-20 3.23460184e-25],2
3.5722450845907635e-06,11,250,1000,6,True,0.5348973141227181,2,[ 0.06162411 -0.03560549] [ 0.00943337 -0.72611973],[5.51739903e-01 4.48260090e-01 7.09859565e-09 2.53578329e-14 9.05840704e-20 3.23587345e-25],2
3.5722450845907635e-06,12,250,1000,6,True,0.4613321811870046,2,[0.07560495 0.0344093 ] [-0.06736906 -0.64781592],[4.51836269e-01 5.48163724e-01 7.10433546e-09 2.53783368e-14 9.06573152e-20 3.23848992e-25],2
3.5722450845907635e-06,13,250,1000,6,True,0.4722002242025456,3,[ 0.01413341 -0.04221924] [ 0.04889524 -0.72956321] [ 0.45067353 -1.14532157],[5.76097379e-01 3.72931277e-01 5.09713365e-02 6.83056074e-09 2.44003499e-14 8.71637186e-20],3
3.5722450845907635e-06,14,250,1000,6,True,0.5174530242853181,2,[ 0.09568074 -0.62696739] [0.02230353 0.06054074],[5.75451754e-01 2.14329097e-03 4.22404948e-01 7.06361669e-09 2.52328799e-14 9.01377093e-20],3
3.5722450845907635e-06,15,250,1000,6,True,0.43984248178313334,2,[ 0.05132196 -0.07112535] [ 0.00848564 -0.76346452],[6.24972435e-01 2.13332282e-03 3.72894235e-01 7.05489292e-09 2.52017166e-14 9.00263866e-20],3
3.5722450845907635e-06,16,250,1000,6,True,0.494640589496604,2,[-0.03022589 -0.07123817] [-0.0873845  -0.76285275],[5.95098210e-01 2.13992556e-03 4.02761858e-01 7.06040915e-09 2.52214218e-14 9.00967783e-20],3
3.5722450845907635e-06,17,250,1000,6,True,0.5232205454386973,2,[-0.08720515 -0.69327826] [-0.09973445  0.01591526],[5.02086138e-01 4.97913855e-01 7.10173519e-09 2.53690480e-14 9.06241335e-20 3.23730459e-25],2
3.5722450845907635e-06,18,250,1000,6,True,0.1539854874992086,5,[-0.35512743 -0.0788276 ] [ 0.75076085 -0.30636429] [-0.20319626 -0.82251959] [-0.88501809 -0.73418225] [ 0.52586458 -0.81553252],[4.02403096e-01 2.91971831e-01 1.21431076e-01 9.39072318e-02 9.02867588e-02 6.83745952e-09],5
3.5722450845907635e-06,19,250,1000,6,True,0.5059875126240414,2,[-0.06094783 -0.06258651] [-0.02480294 -0.74655819],[5.95691145e-01 2.13402220e-03 4.02174826e-01 7.06030803e-09 2.52210606e-14 9.00954880e-20],3
2.143347050754458e-05,0,250,1000,6,True,0.44519201712562645,2,[-0.13329197 -0.57107055] [-0.01866706  0.09042177],[6.36145357e-01 3.63854601e-01 4.25470579e-08 9.11911565e-13 1.95450107e-17 4.18908432e-22],2
2.143347050754458e-05,1,250,1000,6,True,0.5920973456470804,3,[-0.04657127 -0.67196357] [-0.73738708  0.24174343] [-0.0459483   0.03459489],[5.50871714e-01 5.77008362e-03 2.13152389e-03 2.12109030e-03 4.39105546e-01 4.20233833e-08],5
2.143347050754458e-05,2,250,1000,6,True,0.3873838876825418,3,[-0.31157491 -0.04819662] [ 0.10628355 -0.72939601] [ 0.58782533 -0.0422226 ],[3.85966523e-01 4.95893418e-01 2.10122384e-03 2.06324449e-03 1.13975550e-01 4.05555913e-08],5
2.143347050754458e-05,3,250,1000,6,True,0.4139447362779713,3,[ 0.53639505 -0.61537385] [0.09837118 0.04464975] [-0.53410124 -0.67110917],[2.33332607e-01 4.72331106e-01 2.94336244e-01 4.23827033e-08 9.08388951e-13 1.94695105e-17],3
2.143347050754458e-05,4,250,1000,6,True,0.4613870017145513,2,[ 0.0098245  -0.61022696] [0.03508642 0.08094202],[6.32618686e-01 2.13763321e-03 3.65243638e-01 4.23192669e-08 9.07029318e-13 1.94403695e-17],3
2.143347050754458e-05,5,250,1000,6,True,0.39328347702055405,2,[ 0.01652932 -0.10867749] [-0.02470579 -0.80030896],[6.52309524e-01 3.47690433e-01 4.25362690e-08 9.11680326e-13 1.95400546e-17 4.18802207e-22],2
2.143347050754458e-05,6,250,1000,6,True,0.18897313574439462,2,[ 0.00251556 -0.48510395] [-0.0486532   0.19485135],[7.95533184e-01 2.12792316e-03 2.10383132e-03 2.00235020e-01 4.15507640e-08 8.90557988e-13],4
2.143347050754458e-05,7,250,1000,6,True,0.35816392355484294,4,[-0.00539881 -0.61697831] [-0.10619925 -0.01841915] [-0.66177904 -0.74556254] [ 0.83319634 -0.64482232],[0.19389331 0.00214076 0.40921051 0.23118258 0.00209564 0.16147719],6
2.143347050754458e-05,8,250,1000,6,True,0.439808145588117,2,[-0.02519407 -0.05507242] [ 0.00727711 -0.74826267],[5.95324033e-01 2.14177405e-03 4.02534151e-01 4.23614637e-08 9.07933724e-13 1.94597536e-17],3
2.143347050754458e-05,9,250,1000,6,True,0.18112780681304316,4,[-0.01884491  0.10883598] [-0.81112909 -0.2208789 ] [ 0.61827267 -0.52829934] [-0.29939076 -0.66868694],[2.39824386e-01 2.54751665e-01 3.31773727e-01 1.73650180e-01 4.20211660e-08 9.00640118e-13],4
2.143347050754458e-05,10,250,1000,6,True,0.4398050500848723,2,[-0.18956136 -0.64283911] [-0.06942557  0.03007835],[5.88253762e-01 4.11746196e-01 4.25740747e-08 9.12490616e-13 1.95574215e-17 4.19174433e-22],2
2.143347050754458e-05,11,250,1000,6,True,0.5348973141227181,2,[ 0.06162405 -0.0356055 ] [ 0.00943343 -0.72611974],[5.51739892e-01 4.48260065e-01 4.25908116e-08 9.12849339e-13 1.95651100e-17 4.19339221e-22],2
2.143347050754458e-05,12,250,1000,6,True,0.4613321811870046,2,[0.07560489 0.03440931] [-0.06736901 -0.64781595],[4.51836265e-01 5.48163692e-01 4.26252498e-08 9.13587453e-13 1.95809301e-17 4.19678292e-22],2
2.143347050754458e-05,13,250,1000,6,True,0.4722002242025456,3,[ 0.01413342 -0.04221915] [ 0.04889521 -0.72956316] [ 0.45067367 -1.14532159],[5.76097248e-01 3.72931388e-01 5.09713225e-02 4.09826316e-08 8.78381200e-13 1.88263540e-17],3
2.143347050754458e-05,14,250,1000,6,True,0.5174530242853181,2,[ 0.0956808  -0.62696738] [0.02230345 0.06054076],[5.75451757e-01 2.14329333e-03 4.22404907e-01 4.23809416e-08 9.08351194e-13 1.94687012e-17],3
2.143347050754458e-05,15,250,1000,6,True,0.43984248178313334,2,[ 0.0513219  -0.07112536] [ 0.00848572 -0.76346457],[6.24972450e-01 2.13332275e-03 3.72894185e-01 4.23285999e-08 9.07229353e-13 1.94446568e-17],3
2.143347050754458e-05,16,250,1000,6,True,0.494640589496604,2,[-0.03022589 -0.07123817] [-0.0873845  -0.76285274],[5.95098186e-01 2.13992551e-03 4.02761846e-01 4.23616967e-08 9.07938717e-13 1.94598606e-17],3
2.143347050754458e-05,17,250,1000,6,True,0.5232205454386973,2,[-0.08720515 -0.69327826] [-0.09973445  0.01591526],[5.02086127e-01 4.97913831e-01 4.26096485e-08 9.13253070e-13 1.95737632e-17 4.19524685e-22],2
2.143347050754458e-05,18,250,1000,6,True,0.1539854874992086,5,[-0.35512742 -0.07882759] [ 0.75076089 -0.30636426] [-0.20319626 -0.82251959] [-0.88501808 -0.73418224] [ 0.52586458 -0.81553251],[4.02403084e-01 2.91971795e-01 1.21431074e-01 9.39072330e-02 9.02867727e-02 4.10240236e-08],5
2.143347050754458e-05,19,250,1000,6,True,0.5059875126240414,2,[-0.06094781 -0.06258661] [-0.02480295 -0.74655827],[5.95691259e-01 2.13402211e-03 4.02174677e-01 4.23610899e-08 9.07925711e-13 1.94595819e-17],3
0.0001286008230452675,0,250,1000,6,True,0.44519201712562645,2,[-0.13329194 -0.57107045] [-0.01866705  0.09042185],[6.36145361e-01 3.63854383e-01 2.55254939e-07 3.28217743e-11 4.22036444e-15 5.42672553e-19],2
0.0001286008230452675,1,250,1000,6,True,0.5920973456470804,3,[-0.04657128 -0.67196359] [-0.73738712  0.24174338] [-0.04594829  0.03459487],[5.50871559e-01 5.77008045e-03 2.13152344e-03 2.12108986e-03 4.39105495e-01 2.52113230e-07],5
0.0001286008230452675,2,250,1000,6,True,0.3873838876825418,3,[-0.31157564 -0.04819671] [ 0.10628385 -0.72939616] [ 0.58782471 -0.04222284],[3.85966313e-01 4.95893121e-01 2.10122357e-03 2.06324439e-03 1.13975856e-01 2.43307477e-07],5
0.0001286008230452675,3,250,1000,6,True,0.4139447362779713,3,[ 0.53639502 -0.61537384] [0.09837106 0.04464969] [-0.53410134 -0.67110933],[2.33332591e-01 4.72331096e-01 2.94336059e-01 2.54268917e-07 3.26949874e-11 4.20406164e-15],3
0.0001286008230452675,4,250,1000,6,True,0.4613870017145513,2,[ 0.00982451 -0.61022662] [0.03508643 0.08094229],[6.32619016e-01 2.13763274e-03 3.65243097e-01 2.53888337e-07 3.26460508e-11 4.19776917e-15],3
0.0001286008230452675,5,250,1000,6,True,0.39328347702055405,2,[ 0.01652931 -0.10867747] [-0.02470578 -0.80030893],[6.52309353e-01 3.47690392e-01 2.55190213e-07 3.28134515e-11 4.21929427e-15 5.42534945e-19],2
0.0001286008230452675,6,250,1000,6,True,0.18897313574439462,2,[ 0.00251812 -0.48510971] [-0.04866086  0.19484369],[7.95523979e-01 2.12788667e-03 2.10383290e-03 2.00244052e-01 2.49278145e-07 3.20532526e-11],4
0.0001286008230452675,7,250,1000,6,True,0.35816392355484294,4,[-0.00539881 -0.61697828] [-0.10619934 -0.0184191 ] [-0.66177915 -0.74556251] [ 0.83319628 -0.6448222 ],[0.19389335 0.00214076 0.40921041 0.23118257 0.00209564 0.16147726],6
0.0001286008230452675,8,250,1000,6,True,0.439808145588117,2,[-0.02519407 -0.05507236] [ 0.00727711 -0.74826259],[5.95323809e-01 2.14177254e-03 4.02534165e-01 2.54141495e-07 3.26786029e-11 4.20195486e-15],3
0.0001286008230452675,9,250,1000,6,True,0.18112780681304316,4,[-0.01884489  0.10883599] [-0.81112905 -0.22087885] [ 0.61827273 -0.52829927] [-0.29939068 -0.66868695],[2.39824274e-01 2.54751645e-01 3.31773636e-01 1.73650192e-01 2.52099931e-07 3.24160898e-11],4
0.0001286008230452675,10,250,1000,6,True,0.4398050500848723,2,[-0.18956137 -0.64283919] [-0.06942558  0.03007827],[5.88253526e-01 4.11746219e-01 2.55417022e-07 3.28426157e-11 4.22304432e-15 5.43017143e-19],2
0.0001286008230452675,11,250,1000,6,True,0.5348973141227181,2,[ 0.06162374 -0.03560551] [ 0.00943381 -0.72611981],[5.51739825e-01 4.48259920e-01 2.55517433e-07 3.28555269e-11 4.22470450e-15 5.43230616e-19],2
0.0001286008230452675,12,250,1000,6,True,0.4613321811870046,2,[0.07560451 0.03440937] [-0.06736871 -0.64781609],[4.51836245e-01 5.48163499e-01 2.55724040e-07 3.28820933e-11 4.22812052e-15 5.43669863e-19],2
0.0001286008230452675,13,250,1000,6,True,0.4722002242025456,3,[ 0.01413347 -0.04221862] [ 0.04889504 -0.72956284] [ 0.4506745  -1.14532168],[5.76096460e-01 3.72932056e-01 5.09712386e-02 2.45869415e-07 3.16149434e-11 4.06518495e-15],3
0.0001286008230452675,14,250,1000,6,True,0.5174530242853181,2,[ 0.09568114 -0.62696728] [0.02230296 0.06054087],[5.75451776e-01 2.14330756e-03 4.22404662e-01 2.54258348e-07 3.26936284e-11 4.20388690e-15],3
0.0001286008230452675,15,250,1000,6,True,0.43984248178313334,2,[ 0.05132159 -0.07112546] [ 0.00848622 -0.76346483],[6.24972544e-01 2.13332231e-03 3.72893880e-01 2.53944331e-07 3.26532507e-11 4.19869497e-15],3
0.0001286008230452675,16,250,1000,6,True,0.494640589496604,2,[-0.03022589 -0.07123816] [-0.0873845  -0.76285273],[5.95098041e-01 2.13992519e-03 4.02761779e-01 2.54142892e-07 3.26787826e-11 4.20197796e-15],3
0.0001286008230452675,17,250,1000,6,True,0.5232205454386973,2,[-0.08720516 -0.69327823] [-0.09973444  0.01591529],[5.02086060e-01 4.97913685e-01 2.55630442e-07 3.28700581e-11 4.22657298e-15 5.43470873e-19],2
0.0001286008230452675,18,250,1000,6,True,0.1539854874992086,5,[-0.35512737 -0.07882758] [ 0.75076111 -0.30636409] [-0.20319627 -0.82251959] [-0.88501801 -0.73418221] [ 0.52586461 -0.81553246],[4.02403013e-01 2.91971583e-01 1.21431061e-01 9.39072402e-02 9.02868560e-02 2.46117738e-07],5
0.0001286008230452675,19,250,1000,6,True,0.5059875126240414,2,[-0.06094772 -0.06258718] [-0.02480301 -0.74655881],[5.95691940e-01 2.13402163e-03 4.02173784e-01 2.54139246e-07 3.26783138e-11 4.20191768e-15],3
0.0007716049382716049,0,250,1000,6,True,0.44519201712562645,2,[-0.13329181 -0.57106985] [-0.01866703  0.09042232],[6.36145388e-01 3.63853080e-01 1.53054366e-06 1.18006450e-09 9.09841557e-13 7.01496960e-16],2
0.0007716049382716049,1,250,1000,6,True,0.5920973456470804,3,[-0.04657132 -0.67196375] [-0.73738737  0.24174307] [-0.04594826  0.03459472],[5.50870631e-01 5.77006140e-03 2.13152078e-03 2.12108724e-03 4.39105188e-01 1.51170563e-06],5
0.0007716049382716049,2,250,1000,6,True,0.3873838876825418,3,[-0.31158002 -0.04819723] [ 0.10628564 -0.72939702] [ 0.58782099 -0.04222427],[3.85965052e-01 4.95891337e-01 2.10122195e-03 2.06324381e-03 1.13977686e-01 1.45890701e-06],5
0.0007716049382716049,3,250,1000,6,True,0.4139447362779713,3,[ 0.53639481 -0.61537373] [0.09837038 0.04464937] [-0.53410198 -0.67111024],[2.33332494e-01 4.72331036e-01 2.94334944e-01 1.52463135e-06 1.17550605e-09 9.06326949e-13],3
0.0007716049382716049,4,250,1000,6,True,0.4613870017145513,2,[ 0.00982458 -0.61022453] [0.0350865  0.08094395],[6.32620996e-01 2.13762992e-03 3.65239850e-01 1.52234925e-06 1.17374653e-09 9.04970339e-13],3
0.0007716049382716049,5,250,1000,6,True,0.39328347702055405,2,[ 0.01652929 -0.10867734] [-0.02470571 -0.8003088 ],[6.52308322e-01 3.47690147e-01 1.53015558e-06 1.17976529e-09 9.09610862e-13 7.01319091e-16],2
0.0007716049382716049,6,250,1000,6,True,0.18897313574439462,2,[ 0.00253334 -0.48514417] [-0.04870615  0.19479812],[7.95468979e-01 2.12768575e-03 2.10384239e-03 2.00297997e-01 1.49471773e-06 1.15244235e-09],4
0.0007716049382716049,7,250,1000,6,True,0.35816392355484294,4,[-0.00539887 -0.61697808] [-0.10619988 -0.01841878] [-0.6617798  -0.74556231] [ 0.8331959  -0.64482146],[0.19389358 0.00214076 0.40920984 0.23118248 0.00209564 0.16147769],6
